slug,missing_core
claude-opus-4-6-adaptive,τ³-Banking
qwen-2-5-max,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
qwen3-6-max,τ³-Banking
qwen3-max,τ³-Banking
gpt-5-2,τ³-Banking
gpt-5-2-codex,τ³-Banking
gpt-5-3-codex,τ³-Banking
gpt-5-4-pro,AA-LCR v1.1; AA-Omniscience Accuracy; GPQA Diamond; Terminal-Bench effective; τ³-Banking
gpt-5-5-pro,AA-LCR v1.1; AA-Omniscience Accuracy; GPQA Diamond; Terminal-Bench effective; τ³-Banking
gemini-3-pro,τ³-Banking
gpt-5-1-codex,τ³-Banking
gpt-5-1-codex-mini,τ³-Banking
gpt-5-codex,τ³-Banking
gpt-5-nano,τ³-Banking
grok-3-mini-reasoning,τ³-Banking
k2-v2,τ³-Banking
nova-2-0-lite-reasoning,τ³-Banking
o4-mini,τ³-Banking
sarvam-105b,τ³-Banking
sarvam-30b,τ³-Banking
QwQ-32B-Preview,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
apertus-70b-instruct,τ³-Banking
apertus-8b-instruct,τ³-Banking
apriel-v1-5-15b-thinker,τ³-Banking
apriel-v1-6-15b-thinker,AA-LCR v1.1; τ³-Banking
arctic-instruct,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; GPQA Diamond; Terminal-Bench effective; τ³-Banking
claude-2,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
claude-21,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
claude-3-5-haiku,τ³-Banking
claude-3-7-sonnet-thinking,AA-LCR v1.1; τ³-Banking
claude-3-haiku,τ³-Banking
claude-3-opus,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
claude-3-sonnet,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
claude-35-sonnet,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
claude-35-sonnet-june-24,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
claude-4-1-opus-thinking,AA-Omniscience Accuracy; τ³-Banking
claude-4-opus-thinking,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; τ³-Banking
claude-instant,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
claude-opus-4-5-thinking,τ³-Banking
cogito-v2-1-reasoning,τ³-Banking
command-a,τ³-Banking
command-r-03-2024,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
command-r-plus-04-2024,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
dbrx,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deephermes-3-llama-3-1-8b-preview,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deephermes-3-mistral-24b-preview,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deepseek-coder-v2,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; GPQA Diamond; Terminal-Bench effective; τ³-Banking
deepseek-coder-v2-lite,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deepseek-llm-67b-chat,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; GPQA Diamond; Terminal-Bench effective; τ³-Banking
deepseek-r1,τ³-Banking
deepseek-r1-distill-llama-70b,τ³-Banking
deepseek-r1-distill-llama-8b,AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deepseek-r1-distill-qwen-1-5b,AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deepseek-r1-distill-qwen-14b,AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deepseek-r1-distill-qwen-32b,AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deepseek-r1-qwen3-8b,τ³-Banking
deepseek-v2,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; GPQA Diamond; Terminal-Bench effective; τ³-Banking
deepseek-v2-5,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
deepseek-v2-5-sep-2024,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; GPQA Diamond; Terminal-Bench effective; τ³-Banking
deepseek-v3-1-reasoning,τ³-Banking
deepseek-v3-2-reasoning,τ³-Banking
deepseek-v3-2-reasoning-0925,τ³-Banking
deepseek-v3-2-speciale,τ³-Banking
devstral-small,τ³-Banking
devstral-small-2505,τ³-Banking
diffusiongemma-26b-a4b,τ³-Banking
doubao-seed-code,τ³-Banking
ernie-4-5-300b-a47b,AA-LCR v1.1; τ³-Banking
ernie-5-0-thinking-preview,AA-LCR v1.1; τ³-Banking
exaone-4-0-1-2b-reasoning,τ³-Banking
exaone-4-0-32b-reasoning,AA-LCR v1.1; τ³-Banking
exaone-4-5-33b,τ³-Banking
falcon-h1r-7b,τ³-Banking
g9v3-3b,τ³-Banking
gemini-1-0-pro,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-1-0-ultra,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; GPQA Diamond; Terminal-Bench effective; τ³-Banking
gemini-1-5-flash,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-1-5-flash-8b,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-1-5-flash-may-2024,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-1-5-pro,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-1-5-pro-may-2024,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-2-0-flash,τ³-Banking
gemini-2-0-flash-experimental,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-2-0-flash-lite-001,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-2-0-flash-lite-preview,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
gemini-2-0-flash-thinking-exp-0121,AA-LCR v1.1; AA-Omniscience Accuracy; CritPt; Terminal-Bench effective; τ³-Banking
