slug,model,variant_group,missing_core_count,missing_core_items,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,hard-reasoning_item2,hard-reasoning_item2_adjusted,hard-reasoning_item2_base_points,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,knowledge-science_item2,knowledge-science_item2_adjusted,knowledge-science_item2_base_points,instruction-context_core,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,instruction-context_item2,instruction-context_item2_adjusted,instruction-context_item2_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,52.0202,52.0202,26.0101,0.0,26.0101,10,2.60101,Terminal-Bench effective,52.0202,2.60101,LiveCodeBench,,0.0,52.65375,4.355847231317749,57.00959723131775,11,6.271055695444952,τ³-Banking,47.2165,2.5969075000000004,AA-Briefcase,58.091,3.195005,14.85715,0.0,14.85715,20,2.9714300000000002,CritPt,29.7143,2.9714300000000002,AIME 2025,,0.0,80.48535,0.0,80.48535,40,32.19414,AA-Omniscience Accuracy,67.2333,13.44666,GPQA Diamond,93.7374,18.74748,55.76665,0.0,55.76665,19,10.5956635,AA-LCR v1.1,85.3333,8.1066635,GDP.pdf,26.2,2.489,54.154156,54.63329919544495,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,59.0909,59.0909,29.54545,0.0,29.54545,10,2.954545,Terminal-Bench effective,59.0909,2.954545,LiveCodeBench,,0.0,47.2719,0.0,47.2719,11,5.199909,τ³-Banking,41.4433,2.2793815,AA-Briefcase,53.1005,2.9205275,15.85715,0.0,15.85715,20,3.1714300000000004,CritPt,31.7143,3.1714300000000004,AIME 2025,,0.0,79.3303,0.0,79.3303,40,31.732119999999995,AA-Omniscience Accuracy,62.6,12.52,GPQA Diamond,96.0606,19.21212,55.83335,0.0,55.83335,19,10.6083365,AA-LCR v1.1,80.6667,7.663336500000001,GDP.pdf,31.0,2.945,53.6663405,53.6663405,2
gemini-3-flash-reasoning,Gemini 3 Flash,gemini 3 flash,2,AA-Briefcase; GDP.pdf,Terminal-Bench Hard,38.6364,5.613169937805373,48.203434968902684,0.0,48.203434968902684,10,4.820343496890269,Terminal-Bench effective,5.613169937805373,0.28065849689026867,LiveCodeBench,90.7937,4.539685,10.41235,0.0,10.41235,11,1.1453585,τ³-Banking,20.8247,1.1453585,AA-Briefcase,,0.0,52.7857,0.0,52.7857,20,10.557139999999999,CritPt,8.5714,0.85714,AIME 2025,97.0,9.7,71.61565,0.0,71.61565,40,28.64626,AA-Omniscience Accuracy,53.4333,10.686660000000002,GPQA Diamond,89.798,17.959600000000002,39.0,0.0,39.0,19,7.41,AA-LCR v1.1,78.0,7.41,GDP.pdf,,0.0,52.579101996890266,52.579101996890266,3
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,42.4242,42.4242,21.2121,0.0,21.2121,10,2.1212099999999996,Terminal-Bench effective,42.4242,2.1212099999999996,LiveCodeBench,,0.0,44.812650000000005,7.849955594147417,52.66260559414742,11,5.792886615356216,τ³-Banking,38.1443,2.0979365000000003,AA-Briefcase,51.481,2.831455,14.2857,0.0,14.2857,20,2.85714,CritPt,28.5714,2.85714,AIME 2025,,0.0,78.98814999999999,0.0,78.98814999999999,40,31.59526,AA-Omniscience Accuracy,65.35,13.07,GPQA Diamond,92.6263,18.52526,53.16665,0.0,53.16665,19,10.101663499999999,AA-LCR v1.1,82.3333,7.8216635,GDP.pdf,24.0,2.28,51.604665,52.46816011535621,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,48.9899,48.9899,24.49495,0.0,24.49495,10,2.449495,Terminal-Bench effective,48.9899,2.449495,LiveCodeBench,,0.0,49.65345,3.688082225462125,53.341532225462124,11,5.867568544800833,τ³-Banking,42.0619,2.3134045,AA-Briefcase,57.245,3.1484749999999995,14.57145,0.0,14.57145,20,2.9142900000000003,CritPt,29.1429,2.9142900000000003,AIME 2025,,0.0,77.0495,0.0,77.0495,40,30.819799999999997,AA-Omniscience Accuracy,60.8667,12.173340000000001,GPQA Diamond,93.2323,18.64646,50.46665,0.0,50.46665,19,9.588663500000001,AA-LCR v1.1,79.3333,7.5366634999999995,GDP.pdf,21.6,2.052,51.234128,51.63981704480083,5
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,39.899,39.899,19.9495,0.0,19.9495,10,1.99495,Terminal-Bench effective,39.899,1.99495,LiveCodeBench,,0.0,46.539950000000005,0.0,46.539950000000005,11,5.119394500000001,τ³-Banking,44.3299,2.4381445000000004,AA-Briefcase,48.75,2.68125,16.14285,0.0,16.14285,20,3.2285699999999995,CritPt,32.2857,3.2285699999999995,AIME 2025,,0.0,76.7707,0.0,76.7707,40,30.708280000000006,AA-Omniscience Accuracy,59.4,11.88,GPQA Diamond,94.1414,18.82828,55.6,0.0,55.6,19,10.564,AA-LCR v1.1,84.0,7.98,GDP.pdf,27.2,2.5839999999999996,51.61519450000001,51.61519450000001,6
gpt-5,GPT-5 (high),gpt 5,2,AA-Briefcase; GDP.pdf,Terminal-Bench v2.1,35.206,3.091436809725557,43.82086840486277,0.0,43.82086840486277,10,4.382086840486277,Terminal-Bench effective,3.091436809725557,0.15457184048627787,LiveCodeBench,84.5503,4.2275149999999995,11.03095,0.0,11.03095,11,1.2134045,τ³-Banking,22.0619,1.2134045,AA-Briefcase,,0.0,50.023799999999994,0.0,50.023799999999994,20,10.00476,CritPt,5.7143,0.57143,AIME 2025,94.3333,9.43333,62.8351,0.0,62.8351,40,25.13404,AA-Omniscience Accuracy,40.3167,8.06334,GPQA Diamond,85.3535,17.0707,39.1,0.0,39.1,19,7.428999999999999,AA-LCR v1.1,78.2,7.428999999999999,GDP.pdf,,0.0,48.163291340486275,48.163291340486275,7
gpt-5-1,GPT-5.1 (high),gpt 5 1,2,AA-Briefcase; GDP.pdf,Terminal-Bench v2.1,52.4345,7.48635761176949,47.12942880588474,0.0,47.12942880588474,10,4.712942880588474,Terminal-Bench effective,7.48635761176949,0.37431788058847454,LiveCodeBench,86.7725,4.3386249999999995,7.93815,0.0,7.93815,11,0.8731964999999999,τ³-Banking,15.8763,0.8731964999999999,AA-Briefcase,,0.0,49.42855,0.0,49.42855,20,9.88571,CritPt,4.8571,0.48571,AIME 2025,94.0,9.4,62.4947,0.0,62.4947,40,24.99788,AA-Omniscience Accuracy,37.7167,7.543340000000001,GPQA Diamond,87.2727,17.454539999999998,40.0,0.0,40.0,19,7.6,AA-LCR v1.1,80.0,7.6,GDP.pdf,,0.0,48.06972938058847,48.06972938058847,8
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,14.6465,14.6465,7.32325,0.0,7.32325,10,0.732325,Terminal-Bench effective,14.6465,0.732325,LiveCodeBench,,0.0,35.3793,1.5547077513974017,36.9340077513974,11,4.0627408526537145,τ³-Banking,38.9691,2.1433004999999996,AA-Briefcase,31.7895,1.7484225,13.57145,0.0,13.57145,20,2.71429,CritPt,27.1429,2.71429,AIME 2025,,0.0,75.7427,0.0,75.7427,40,30.29708,AA-Omniscience Accuracy,57.95,11.59,GPQA Diamond,93.5354,18.707079999999998,52.76665,0.0,52.76665,19,10.0256635,AA-LCR v1.1,84.3333,8.0116635,GDP.pdf,21.2,2.0140000000000002,47.6610815,47.832099352653714,9
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,33.3333,33.3333,16.66665,0.0,16.66665,10,1.666665,Terminal-Bench effective,33.3333,1.666665,LiveCodeBench,,0.0,52.48725,0.0,52.48725,11,5.773597500000001,τ³-Banking,50.5155,2.7783525000000004,AA-Briefcase,54.459,2.9952449999999997,12.42855,0.0,12.42855,20,2.48571,CritPt,24.8571,2.48571,AIME 2025,,0.0,68.55935,0.0,68.55935,40,27.42374,AA-Omniscience Accuracy,43.5833,8.716660000000001,GPQA Diamond,93.5354,18.707079999999998,54.8,0.0,54.8,19,10.412,AA-LCR v1.1,83.0,7.885,GDP.pdf,26.6,2.527,47.7617125,47.7617125,10
