slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank,equal_board_score
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,52.0202,3.3005712300467422,55.320771230046745,47.2165,7.735504906572432,54.952004906572434,52.776332051592966,0.0,52.776332051592966,67.2333,0.0,67.2333,85.3333,0.0,85.3333,65.1290491880625,63.860413012898235,1,63.123141637642426
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,59.090900000000005,0.0,59.090900000000005,41.4433,0.0,41.4433,55.19506034583167,0.0,55.19506034583167,62.6,0.0,62.6,80.6667,0.0,80.6667,62.62340508645792,62.62340508645792,2,59.79919206916634
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,42.4242,6.1942791746735395,48.61847917467354,38.1443,11.15327327646358,49.29757327646358,51.443785512149084,0.0,51.443785512149084,65.35,0.0,65.35,82.3333,0.0,82.3333,62.00430058188466,59.95983137803727,3,59.40862759265723
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,48.9899,2.5933143714184297,51.58321437141843,42.0619,8.329482848596754,50.391382848596756,52.12542177930074,0.0,52.12542177930074,60.86670000000001,0.0,60.86670000000001,79.3333,0.0,79.3333,60.85797588539763,59.63603044482519,4,58.86000379986318
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,39.899,0.0,39.899,44.3299,0.0,44.3299,55.13094410564724,0.0,55.13094410564724,59.4,0.0,59.4,84.0,0.0,84.0,60.05057602641181,60.05057602641181,5,56.55196882112945
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,35.3535,0.0,35.3535,40.2062,0.0,40.2062,52.6854723809135,0.0,52.6854723809135,46.8,0.17718217985847673,46.977182179858474,83.0,0.0,83.0,54.989308640192995,54.945013095228376,6,51.6444709121544
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,Terminal-Bench v4.0,14.6465,14.6465,14.646499999999998,0.0,14.646499999999998,38.9691,0.0,38.9691,50.386724527994474,0.0,50.386724527994474,57.95,0.0,57.95,84.3333,0.0,84.3333,54.261391131998614,54.261391131998614,7,49.257124905598886
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,33.3333,0.0,33.3333,50.5155,0.0,50.5155,48.21844866168964,0.0,48.21844866168964,43.5833,0.0,43.5833,83.0,0.0,83.0,53.75198216542241,53.75198216542241,8,51.73010973233793
kimi-k3,Kimi K3 (max),kimi k3,Terminal-Bench v4.0,12.6263,12.6263,12.626299999999999,0.0,12.626299999999999,45.9794,0.0,45.9794,46.81242861078669,0.0,46.81242861078669,47.5833,0.0,47.5833,88.6667,0.0,88.6667,52.25749215269667,52.25749215269667,9,48.333625722157336
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,19.697,0.0,19.697,44.9485,0.0,44.9485,41.73438197996946,0.0,41.73438197996946,54.6,0.10441860178303841,54.70441860178304,81.3333,0.0,81.3333,51.892425145438125,51.866320494992365,10,48.483520116350505
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,41.9192,0.0,41.9192,50.3093,1.974007029252462,52.28330702925246,41.90146999664809,0.0,41.90146999664809,33.85,0.0,33.85,79.6667,0.0,79.6667,50.37075320208727,50.17335249916202,11,49.92413540518012
claude-opus-4-8,Claude Opus 4.8 (max),claude opus 4 8,Terminal-Bench v4.0,21.7172,21.7172,21.717199999999995,0.0,21.717199999999995,34.2268,0.0,34.2268,43.80952537314231,0.0,43.80952537314231,48.8333,0.0,48.8333,77.6667,0.0,77.6667,49.25764134328558,49.25764134328558,12,45.25070507462846
qwen3-8-max,Qwen3.8 Max,qwen3 8 max,Terminal-Bench v4.0,18.6869,18.6869,18.6869,0.0,18.6869,51.3402,0.0,51.3402,43.064440086920904,0.0,43.064440086920904,31.85,11.352304037836376,43.20230403783638,78.3333,0.0,78.3333,49.08706603118932,46.24899002173022,13,46.92542882495145
gemini-3-1-pro-preview,Gemini 3.1 Pro Preview,gemini 3 1 pro preview,Terminal-Bench v4.0,4.0404,4.0404,4.0404,0.0,4.0404,21.4433,19.07299575312922,40.51629575312922,40.83685837598187,0.0,40.83685837598187,54.85,0.0,54.85,82.0,0.0,82.0,49.07940416930839,47.17210459399547,14,44.44871082582222
deepseek-v4-pro,DeepSeek V4 Pro 0813 (max),deepseek v4 pro 0813,Terminal-Bench v4.0,14.1414,14.1414,14.141400000000004,0.0,14.141400000000004,39.5876,1.4075827441451594,40.99518274414516,40.87675867776211,0.0,40.87675867776211,49.1,0.0,49.1,80.3333,0.0,80.3333,48.798242943855044,48.65748466944053,15,45.08932828438145
gemini-3-7-flash,Gemini 3.7 Flash (high),gemini 3 7 flash,Terminal-Bench v4.0,13.6364,13.6364,13.636400000000004,0.0,13.636400000000004,32.7835,0.0,32.7835,36.75117208130919,0.0,36.75117208130919,55.3167,0.0,55.3167,81.6667,0.0,81.6667,48.7574530203273,48.7574530203273,16,44.03089441626184
grok-4-6-xhigh,Grok 4.6 (xhigh),grok 4 6,Terminal-Bench v4.0,17.1717,17.1717,17.1717,0.0,17.1717,43.299,0.0,43.299,42.94164570926457,0.0,42.94164570926457,43.0,0.0,43.0,81.0,0.0,81.0,48.64106642731614,48.64106642731614,17,45.48246914185292
gpt-5-6-luna,GPT-5.6 Luna (max),gpt 5 6 luna,Terminal-Bench v4.0,11.6162,11.6162,11.616199999999996,2.03714644833574,13.653346448335736,31.134,4.402715155584488,35.53671515558449,43.29298883814791,0.0,43.29298883814791,42.7333,0.6380750969045437,43.37137509690454,83.6667,0.0,83.6667,48.184439466571924,47.27907720953698,18,43.904225107794545
grok-4-5,Grok 4.5 (high),grok 4 5,Terminal-Bench v4.0,10.6061,10.6061,10.606100000000003,0.0,10.606100000000003,42.0619,0.0,42.0619,37.90627355966292,0.0,37.90627355966292,51.55,0.0,51.55,79.3333,0.0,79.3333,47.99449838991573,47.99449838991573,19,44.291514711932585
claude-sonnet-5,Claude Sonnet 5 (max),claude sonnet 5,Terminal-Bench v4.0,14.1414,14.1414,14.141400000000004,0.0,14.141400000000004,37.3196,0.0,37.3196,39.190163610401015,0.0,39.190163610401015,40.05,1.0816448916545056,41.1316448916545,82.0,0.0,82.0,46.43362212551388,46.163210902600255,20,42.756561700411105
glm-5-3-flash,GLM-5.3-Flash,glm 5 3 flash,Terminal-Bench v4.0,32.8283,32.8283,32.8283,0.0,32.8283,47.2165,0.0,47.2165,37.51366425797406,0.0,37.51366425797406,27.500000000000004,0.0,27.500000000000004,80.0,0.0,80.0,45.89931106449352,45.89931106449352,21,45.011692851594816
gemini-3-5-flash,Gemini 3.5 Flash,gemini 3 5 flash,Terminal-Bench v4.0,6.5657,6.5657,6.5657,0.0,6.5657,32.1649,14.527859135808342,46.692759135808345,34.814754808557815,0.0,34.814754808557815,51.4,0.8205831466345046,52.2205831466345,73.3333,0.0,73.3333,45.74629040237891,44.08835870213945,22,42.72541941820013
muse-spark-1-1,Muse Spark 1.1 (xhigh),muse spark 1 1,Terminal-Bench v4.0,6.0606,6.0606,6.060599999999999,0.0,6.060599999999999,31.752600000000005,0.0,31.752600000000005,36.87549503667713,0.0,36.87549503667713,52.05,0.0,52.05,77.6667,0.0,77.6667,45.732398759169286,45.732398759169286,23,40.88107900733543
muse-spark-1-2,Muse Spark 1.2 (xhigh),muse spark 1 2,Terminal-Bench v4.0,7.0707,7.0707,7.0707,0.0,7.0707,34.8454,0.0,34.8454,40.01804064668834,0.0,40.01804064668834,45.3833,0.0,45.3833,79.0,0.0,79.0,45.64548016167208,45.64548016167208,24,41.26348812933767
deepseek-v4-flash,DeepSeek V4 Flash 0731 (max),deepseek v4 flash 0731,Terminal-Bench v4.0,12.1212,12.1212,12.1212,0.0,12.1212,39.3814,0.0,39.3814,38.791975308560914,0.0,38.791975308560914,40.3833,0.0,40.3833,79.6667,0.0,79.6667,45.46681382714023,45.46681382714023,25,42.06891506171218
qwen3-8-2-4t-a95b,Qwen3.8 2.4T A95B,qwen3 8 2 4t a95b,Terminal-Bench v4.0,11.1111,11.1111,11.111100000000002,0.0,11.111100000000002,49.0722,0.0,49.0722,43.251682048216345,0.0,43.251682048216345,31.25,0.0,31.25,80.3333,0.0,80.3333,45.282630512054084,45.282630512054084,26,43.00365640964327
gemini-3-6-flash,Gemini 3.6 Flash,gemini 3 6 flash,Terminal-Bench v4.0,7.0707,7.0707,7.0707,0.0,7.0707,29.8969,0.0,29.8969,31.326108769204,0.0,31.326108769204,49.9667,0.6963042910518594,50.66300429105186,80.0,0.0,80.0,44.54757326506397,44.373497192301,27,39.791342612051174
