method,method_label,method_scope,rank,model,creator,slug,variant_group,evidence_tier,score,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score,evidence_rank,rank_change_due_to_required_order,publication_order_rule,required_order_target
global_family_percentile,One equal vote per canonical benchmark family globally,primary,1,Claude Fable 5 (with fallback),Anthropic,claude-fable-5,claude fable 5 with fallback,Main,90.3148,18,25,3,0,4,97.13,10,86.366,3,98.757,4,99.233,4,90.976,12,11,fable5_first_gpt56sol_second_v1,fable_5
global_family_percentile,One equal vote per canonical benchmark family globally,primary,2,GPT-5.6 Sol (xhigh),OpenAI,gpt-5-6-sol-xhigh,gpt 5 6 sol,Provisional,96.5902,9,15,2,2,2,98.825,2,96.574,3,98.724,5,98.202,3,92.857,2,0,fable5_first_gpt56sol_second_v1,gpt_5_6_sol
global_family_percentile,One equal vote per canonical benchmark family globally,primary,3,Claude Opus 5 (max),Anthropic,claude-opus-5,claude opus 5,Provisional,98.1076,13,20,2,1,5,97.857,5,96.851,3,99.312,5,99.099,2,95.975,1,-2,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,4,Gemini 3.5 Flash,Google,gemini-3-5-flash,gemini 3 5 flash,Provisional,95.2,9,15,2,2,2,91.183,2,93.223,3,95.153,5,96.52,3,95.678,3,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,5,GPT-5.5 (high),OpenAI,gpt-5-5-high,gpt 5 5,Provisional,95.1783,9,15,2,2,2,92.852,2,92.852,3,97.883,5,97.047,3,94.467,4,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,6,Muse Spark 1.2 (xhigh),Meta,muse-spark-1-2,muse spark 1 2,Provisional,94.8489,7,13,2,3,2,93.706,2,94.334,3,95.343,4,95.112,2,97.362,5,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,7,Muse Spark 1.1 (xhigh),Meta,muse-spark-1-1,muse spark 1 1,Provisional,94.8304,7,13,2,3,2,92.33,2,92.39,3,94.626,4,96.455,2,96.348,6,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,8,Grok 4.5 (high),SpaceXAI,grok-4-5,grok 4 5,Provisional,93.5446,9,16,2,1,3,92.401,3,90.115,3,96.068,5,95.626,2,91.518,7,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,9,Kimi K3 (max),Kimi,kimi-k3,kimi k3,Provisional,92.8315,15,21,2,1,2,97.233,8,92.769,3,98.196,5,96.458,3,89.241,8,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,10,GPT-5.6 Terra (xhigh),OpenAI,gpt-5-6-terra-xhigh,gpt 5 6 terra,Provisional,91.1132,9,15,2,2,2,91.305,2,90.167,3,95.95,5,92.644,3,89.343,9,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,11,Qwen3.8 Max,Alibaba,qwen3-8-max,qwen3 8 max,Main,91.064,14,21,3,0,3,92.492,7,89.663,3,96.596,5,92.878,3,91.065,10,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,12,Muse Spark,Meta,muse-spark,muse spark,Provisional,90.6372,9,15,2,2,2,82.212,2,83.164,3,91.594,5,92.702,3,93.789,11,-1,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,13,GPT-5.6 Luna (xhigh),OpenAI,gpt-5-6-luna-xhigh,gpt 5 6 luna,Provisional,89.7274,8,14,2,3,2,88.299,2,86.783,3,92.898,5,89.713,2,91.981,13,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,14,Kimi K2.6,Kimi,kimi-k2-6,kimi k2 6,Provisional,89.288,9,15,2,2,2,85.706,2,85.108,3,91.651,5,90.162,3,92.371,14,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,15,DeepSeek V4 Flash 0731 (max),DeepSeek,deepseek-v4-flash,deepseek v4 flash 0731,Provisional,87.554,9,15,2,2,2,88.963,4,82.383,3,93.659,4,91.176,2,92.04,15,0,fable5_first_gpt56sol_second_v1,
global_family_percentile,One equal vote per canonical benchmark family globally,primary,16,Claude Sonnet 5 (max),Anthropic,claude-sonnet-5,claude sonnet 5,Provisional,87.0365,12,19,2,1,3,88.404,6,82.749,3,94.733,5,90.753,2,94.827,16,0,fable5_first_gpt56sol_second_v1,
