slug,missing_core
claude-opus-4-6-adaptive,AutomationBench-AA
claude-opus-4-7,AutomationBench-AA
qwen-2-5-max,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
qwen3-6-max,AutomationBench-AA
qwen3-max,AutomationBench-AA
gpt-5-2,AutomationBench-AA
gpt-5-2-codex,AutomationBench-AA
gpt-5-3-codex,AutomationBench-AA
gpt-5-4,AutomationBench-AA
gpt-5-4-pro,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
gpt-5-5-pro,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
gemini-3-pro,AutomationBench-AA
gpt-5,AutomationBench-AA
gpt-5-1,AutomationBench-AA
gpt-5-1-codex,AutomationBench-AA
gpt-5-1-codex-mini,AutomationBench-AA
gpt-5-codex,AutomationBench-AA
gpt-5-nano,AutomationBench-AA
grok-3-mini-reasoning,AutomationBench-AA
hypernova-60b,AutomationBench-AA
k2-v2,AutomationBench-AA
nova-2-0-lite-reasoning,AutomationBench-AA
o4-mini,AutomationBench-AA
sarvam-105b,AutomationBench-AA
sarvam-30b,AutomationBench-AA
QwQ-32B-Preview,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
a-x-k2,AutomationBench-AA
agnes-2-5-pro-beta,AutomationBench-AA
apertus-70b-instruct,AutomationBench-AA
apertus-8b-instruct,AutomationBench-AA
apodex-1-1,AutomationBench-AA
apriel-v1-5-15b-thinker,AutomationBench-AA
apriel-v1-6-15b-thinker,AA-LCR v1.1; AutomationBench-AA
arctic-instruct,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
claude-2,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Humanity's Last Exam; Terminal-Bench effective
claude-21,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
claude-3-5-haiku,AutomationBench-AA
claude-3-7-sonnet-thinking,AA-LCR v1.1; AutomationBench-AA
claude-3-haiku,AutomationBench-AA
claude-3-opus,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
claude-3-sonnet,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
claude-35-sonnet,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
claude-35-sonnet-june-24,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
claude-4-1-opus-thinking,AA-Omniscience Accuracy; AutomationBench-AA
claude-4-opus-thinking,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA
claude-4-sonnet-thinking,AutomationBench-AA
claude-instant,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
claude-opus-4-5-thinking,AutomationBench-AA
cogito-v2-1-reasoning,AutomationBench-AA
command-a,AutomationBench-AA
command-r-03-2024,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
command-r-plus-04-2024,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
dbrx,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
deephermes-3-llama-3-1-8b-preview,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
deephermes-3-mistral-24b-preview,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
deepseek-coder-v2,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
deepseek-coder-v2-lite,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; Terminal-Bench effective
