slug,model,missing_core_count,items_total,missing_core_items,empty_boards,reason
claude-opus-4-6-adaptive,Claude Opus 4.6 (max),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
claude-opus-4-7,Claude Opus 4.7 (max),3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
qwen-2-5-max,Qwen2.5 Max,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
qwen3-6-max,Qwen3.6 Max Preview,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
qwen3-max,Qwen3 Max,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-2,GPT-5.2 (xhigh),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-2-codex,GPT-5.2 Codex (xhigh),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-3-codex,GPT-5.3 Codex (xhigh),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-4,GPT-5.4 (xhigh),3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
gpt-5-4-pro,GPT-5.4 Pro (xhigh),7,8,SciCode; AutomationBench-AA; τ³-Banking; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
gpt-5-5-pro,GPT-5.5 Pro (xhigh),7,8,SciCode; AutomationBench-AA; τ³-Banking; AA-Omniscience Accuracy; Humanity's Last Exam; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_all; missing_at_least_four
gemini-3-pro,Gemini 3 Pro Preview (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5,GPT-5 (high),3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
gpt-5-1,GPT-5.1 (high),3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
gpt-5-1-codex,GPT-5.1 Codex (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-1-codex-mini,GPT-5.1 Codex mini (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-codex,GPT-5 Codex (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
gpt-5-nano,GPT-5 nano (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
grok-3-mini-reasoning,Grok 3 mini Reasoning (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
hypernova-60b,HyperNova 60B 2605 (high),3,8,SciCode; AutomationBench-AA; GDP.pdf,coding,board_missing_all
k2-v2,K2-V2 (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
nova-2-0-lite-reasoning,Nova 2.0 Lite (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
o4-mini,o4-mini (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
sarvam-105b,Sarvam 105B (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
sarvam-30b,Sarvam 30B (high),4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
QwQ-32B-Preview,QwQ 32B-Preview,7,8,SciCode; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_all; missing_at_least_four
apertus-70b-instruct,Apertus 70B Instruct,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
apertus-8b-instruct,Apertus 8B Instruct,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
apriel-v1-5-15b-thinker,Apriel-v1.5-15B-Thinker,4,8,SciCode; AutomationBench-AA; τ³-Banking; GDP.pdf,coding; agentic-tool-work,board_missing_all; missing_at_least_four
apriel-v1-6-15b-thinker,Apriel-v1.6-15B-Thinker,5,8,SciCode; AutomationBench-AA; τ³-Banking; AA-LCR v1.1; GDP.pdf,coding; agentic-tool-work; instruction-context,board_missing_all; missing_at_least_four
