method,method_label,method_scope,rank,model,creator,slug,variant_group,evidence_tier,score,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score,evidence_rank,rank_change_due_to_required_order,publication_order_rule,required_order_target
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,1,Claude Fable 5 (with fallback),Anthropic,claude-fable-5,claude fable 5 with fallback,Main,97.1828,18,25,3,0,4,98.122,10,93.436,3,99.163,4,98.86,4,96.333,2,1,fable5_first_gpt56sol_second_v1,fable_5
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,2,GPT-5.6 Sol (xhigh),OpenAI,gpt-5-6-sol-xhigh,gpt 5 6 sol,Provisional,96.7243,9,15,2,2,2,97.935,2,92.905,3,98.965,5,97.515,3,96.301,4,2,fable5_first_gpt56sol_second_v1,gpt_5_6_sol
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,3,Claude Opus 5 (max),Anthropic,claude-opus-5,claude opus 5,Provisional,97.6454,13,20,2,1,5,98.305,5,93.596,3,99.23,5,98.17,2,98.926,1,-2,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,4,Kimi K3 (max),Kimi,kimi-k3,kimi k3,Provisional,96.9712,15,21,2,1,2,97.136,8,93.639,3,98.759,5,96.852,3,98.471,3,-1,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,5,Muse Spark 1.2 (xhigh),Meta,muse-spark-1-2,muse spark 1 2,Provisional,95.9753,7,13,2,3,2,95.529,2,91.743,3,97.616,4,96.3,2,98.688,5,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,6,GPT-5.6 Terra (max),OpenAI,gpt-5-6-terra,gpt 5 6 terra,Main,95.6801,15,22,3,0,4,96.253,7,90.597,3,98.779,5,95.859,3,96.912,6,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,7,Muse Spark 1.1 (xhigh),Meta,muse-spark-1-1,muse spark 1 1,Provisional,95.6268,7,13,2,3,2,95.259,2,90.605,3,97.188,4,96.969,2,98.112,7,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,8,GPT-5.5 (high),OpenAI,gpt-5-5-high,gpt 5 5,Provisional,95.5656,9,15,2,2,2,95.235,2,90.351,3,98.744,5,97.14,3,96.359,8,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,9,Qwen3.8 Max,Alibaba,qwen3-8-max,qwen3 8 max,Main,95.1502,15,22,3,0,4,94.084,7,90.899,3,98.177,5,94.625,3,97.966,9,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,10,Claude Opus 4.8 (max),Anthropic,claude-opus-4-8,claude opus 4 8,Main,95.0,16,23,3,0,3,95.685,9,90.587,3,98.414,4,97.064,4,93.25,10,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,11,Gemini 3.5 Flash,Google,gemini-3-5-flash,gemini 3 5 flash,Provisional,94.8086,9,15,2,2,2,94.462,2,90.702,3,97.168,5,96.535,3,95.176,11,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,12,GPT-5.6 Luna (max),OpenAI,gpt-5-6-luna,gpt 5 6 luna,Provisional,94.7711,14,21,2,1,4,94.595,7,88.913,3,97.659,5,94.226,2,98.463,12,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,13,Grok 4.5 (high),SpaceXAI,grok-4-5,grok 4 5,Provisional,94.7571,10,17,2,1,4,93.491,3,89.05,3,97.764,5,96.37,2,97.111,13,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,14,Claude Sonnet 5 (max),Anthropic,claude-sonnet-5,claude sonnet 5,Provisional,94.7358,12,19,2,1,3,93.87,6,90.609,3,97.347,5,94.039,2,97.815,14,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,15,DeepSeek V4 Flash 0731 (max),DeepSeek,deepseek-v4-flash,deepseek v4 flash 0731,Provisional,94.7025,9,15,2,2,2,93.752,4,91.064,3,96.997,4,94.299,2,97.4,15,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,16,GPT-5.4 (xhigh),OpenAI,gpt-5-4,gpt 5 4,Main,94.2603,16,23,3,0,3,92.887,7,87.695,5,98.477,5,96.052,3,96.189,16,0,fable5_first_gpt56sol_second_v1,
rasch_sparse_item_sensitivity,1PL/Rasch sensitivity including benchmark items seen for at least 3 models,sensitivity_item_min_3,17,Gemini 3.6 Flash,Google,gemini-3-6-flash,gemini 3 6 flash,Main,93.5846,13,20,3,0,4,91.063,5,87.386,3,96.652,5,96.273,3,96.55,17,0,fable5_first_gpt56sol_second_v1,
