variant,population,condition,higher,lower,margin,passed
dc01,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,2.3293726218490534,True
dc01,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.6617159588989594,True
dc01,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,-0.0987700000000018,False
dc01,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,-3.4128899999999973,False
dc01,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,2.6934999107250235,True
dc01,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,1.0003378117746777,True
dc01,common,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,2.3293726218490534,True
dc01,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.6617159588989594,True
dc01,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,-0.0987700000000018,False
dc01,common,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,-3.4128899999999973,False
dc01,common,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,2.726465690614944,True
dc01,common,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,1.0319891607580942,True
dc02,full,claude-fable-5-1 rank=1,claude-fable-5-1,claude-fable-5,2.7727140153292638,True
dc02,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,-0.06391411939767977,False
dc02,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,1.541790000000006,True
dc02,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,-4.313618449720522,False
dc02,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,7.806241458007342,True
dc02,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,5.534922885366491,True
dc02,common,claude-fable-5-1 rank=1,claude-fable-5-1,claude-fable-5,2.7727140153292638,True
dc02,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,-0.06391411939767977,False
dc02,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,1.541790000000006,True
dc02,common,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,-4.313618449720522,False
dc02,common,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,7.833535690614937,True
dc02,common,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,5.5905791607580895,True
dc03,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.6952007522309742,True
dc03,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,1.0372187948620848,True
dc03,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.6226704987730116,True
dc03,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,-4.647513922352104,False
dc03,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,9.043895799481987,True
dc03,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,6.63523224627987,True
dc03,common,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.6952007522309742,True
dc03,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,1.0372187948620848,True
dc03,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.6226704987730116,True
dc03,common,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,-4.647513922352104,False
dc03,common,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,9.03410688356088,True
dc03,common,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,6.675925693389658,True
dc04,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,2.5695008108423636,True
dc04,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.28143229815795223,True
dc04,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.31813768250934515,True
dc04,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,-4.382198290052756,False
dc04,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,3.7338646999670217,True
dc04,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,1.2976360201479196,True
dc04,common,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,2.5695008108423636,True
dc04,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.28143229815795223,True
dc04,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.31813768250934515,True
