slug,model,variant_group,missing_core_count,missing_core_items,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,coding_weight,coding_points,coding_item1,coding_item1_adjusted,coding_item1_base_points,coding_item2,coding_item2_adjusted,coding_item2_base_points,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,agentic-tool-work_weight,agentic-tool-work_points,agentic-tool-work_item1,agentic-tool-work_item1_adjusted,agentic-tool-work_item1_base_points,agentic-tool-work_item2,agentic-tool-work_item2_adjusted,agentic-tool-work_item2_base_points,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,hard-reasoning_weight,hard-reasoning_points,hard-reasoning_item1,hard-reasoning_item1_adjusted,hard-reasoning_item1_base_points,hard-reasoning_item2,hard-reasoning_item2_adjusted,hard-reasoning_item2_base_points,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,knowledge-science_weight,knowledge-science_points,knowledge-science_item1,knowledge-science_item1_adjusted,knowledge-science_item1_base_points,knowledge-science_item2,knowledge-science_item2_adjusted,knowledge-science_item2_base_points,instruction-context_core,instruction-context_bonus,instruction-context_score,instruction-context_weight,instruction-context_points,instruction-context_item1,instruction-context_item1_adjusted,instruction-context_item1_base_points,instruction-context_item2,instruction-context_item2_adjusted,instruction-context_item2_base_points,core_only_score,score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,52.0202,52.0202,26.0101,0.0,26.0101,10,2.60101,Terminal-Bench effective,52.0202,2.60101,LiveCodeBench,,0.0,52.65375,4.355847231317749,57.00959723131775,10,5.700959723131775,τ³-Banking,47.2165,2.360825,AA-Briefcase,58.091,2.90455,14.85715,0.0,14.85715,16,2.377144,CritPt,29.7143,2.377144,AIME 2025,,0.0,80.48535,0.0,80.48535,40,32.19414,AA-Omniscience Accuracy,67.2333,13.44666,GPQA Diamond,93.7374,18.74748,55.76665,0.0,55.76665,24,13.383996,AA-LCR v1.1,85.3333,10.239995999999998,GDP.pdf,26.2,3.1439999999999997,55.821664999999996,56.25724972313177,1
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,59.0909,59.0909,29.54545,0.0,29.54545,10,2.954545,Terminal-Bench effective,59.0909,2.954545,LiveCodeBench,,0.0,47.2719,0.0,47.2719,10,4.72719,τ³-Banking,41.4433,2.072165,AA-Briefcase,53.1005,2.655025,15.85715,0.0,15.85715,16,2.537144,CritPt,31.7143,2.537144,AIME 2025,,0.0,79.3303,0.0,79.3303,40,31.732119999999995,AA-Omniscience Accuracy,62.6,12.52,GPQA Diamond,96.0606,19.21212,55.83335,0.0,55.83335,24,13.400004000000001,AA-LCR v1.1,80.6667,9.680004000000002,GDP.pdf,31.0,3.72,55.351003,55.351003,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,42.4242,42.4242,21.2121,0.0,21.2121,10,2.1212099999999996,Terminal-Bench effective,42.4242,2.1212099999999996,LiveCodeBench,,0.0,44.812650000000005,7.849955594147417,52.66260559414742,10,5.266260559414742,τ³-Banking,38.1443,1.9072149999999999,AA-Briefcase,51.481,2.57405,14.2857,0.0,14.2857,16,2.285712,CritPt,28.5714,2.285712,AIME 2025,,0.0,78.98814999999999,0.0,78.98814999999999,40,31.59526,AA-Omniscience Accuracy,65.35,13.07,GPQA Diamond,92.6263,18.52526,53.16665,0.0,53.16665,24,12.759996,AA-LCR v1.1,82.3333,9.879995999999998,GDP.pdf,24.0,2.88,53.243443,54.02843855941474,3
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,39.899,39.899,19.9495,0.0,19.9495,10,1.99495,Terminal-Bench effective,39.899,1.99495,LiveCodeBench,,0.0,46.539950000000005,0.0,46.539950000000005,10,4.653995,τ³-Banking,44.3299,2.216495,AA-Briefcase,48.75,2.4375,16.14285,0.0,16.14285,16,2.582856,CritPt,32.2857,2.582856,AIME 2025,,0.0,76.7707,0.0,76.7707,40,30.708280000000006,AA-Omniscience Accuracy,59.4,11.88,GPQA Diamond,94.1414,18.82828,55.6,0.0,55.6,24,13.344000000000001,AA-LCR v1.1,84.0,10.08,GDP.pdf,27.2,3.264,53.28408100000001,53.28408100000001,4
claude-opus-5,Claude Opus 5 (max),claude opus 5,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,48.9899,48.9899,24.49495,0.0,24.49495,10,2.449495,Terminal-Bench effective,48.9899,2.449495,LiveCodeBench,,0.0,49.65345,3.688082225462125,53.341532225462124,10,5.334153222546213,τ³-Banking,42.0619,2.103095,AA-Briefcase,57.245,2.8622499999999995,14.57145,0.0,14.57145,16,2.331432,CritPt,29.1429,2.331432,AIME 2025,,0.0,77.0495,0.0,77.0495,40,30.819799999999997,AA-Omniscience Accuracy,60.8667,12.173340000000001,GPQA Diamond,93.2323,18.64646,50.46665,0.0,50.46665,24,12.111996,AA-LCR v1.1,79.3333,9.519995999999999,GDP.pdf,21.6,2.5920000000000005,52.678067999999996,53.04687622254621,5
gemini-3-flash-reasoning,Gemini 3 Flash,gemini 3 flash,2,AA-Briefcase; GDP.pdf,Terminal-Bench Hard,38.6364,5.613169937805373,48.203434968902684,0.0,48.203434968902684,10,4.820343496890269,Terminal-Bench effective,5.613169937805373,0.28065849689026867,LiveCodeBench,90.7937,4.539685,10.41235,0.0,10.41235,10,1.0412350000000001,τ³-Banking,20.8247,1.0412350000000001,AA-Briefcase,,0.0,52.7857,0.0,52.7857,16,8.445712,CritPt,8.5714,0.6857120000000001,AIME 2025,97.0,7.76,71.61565,0.0,71.61565,40,28.64626,AA-Omniscience Accuracy,53.4333,10.686660000000002,GPQA Diamond,89.798,17.959600000000002,39.0,0.0,39.0,24,9.36,AA-LCR v1.1,78.0,9.36,GDP.pdf,,0.0,52.31355049689027,52.31355049689027,6
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,14.6465,14.6465,7.32325,0.0,7.32325,10,0.732325,Terminal-Bench effective,14.6465,0.732325,LiveCodeBench,,0.0,35.3793,1.5547077513974017,36.9340077513974,10,3.6934007751397404,τ³-Banking,38.9691,1.9484549999999998,AA-Briefcase,31.7895,1.589475,13.57145,0.0,13.57145,16,2.1714320000000003,CritPt,27.1429,2.1714320000000003,AIME 2025,,0.0,75.7427,0.0,75.7427,40,30.29708,AA-Omniscience Accuracy,57.95,11.59,GPQA Diamond,93.5354,18.707079999999998,52.76665,0.0,52.76665,24,12.663996,AA-LCR v1.1,84.3333,10.119995999999999,GDP.pdf,21.2,2.5439999999999996,49.402763,49.55823377513974,7
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,33.3333,33.3333,16.66665,0.0,16.66665,10,1.666665,Terminal-Bench effective,33.3333,1.666665,LiveCodeBench,,0.0,52.48725,0.0,52.48725,10,5.248725,τ³-Banking,50.5155,2.5257750000000003,AA-Briefcase,54.459,2.72295,12.42855,0.0,12.42855,16,1.988568,CritPt,24.8571,1.988568,AIME 2025,,0.0,68.55935,0.0,68.55935,40,27.42374,AA-Omniscience Accuracy,43.5833,8.716660000000001,GPQA Diamond,93.5354,18.707079999999998,54.8,0.0,54.8,24,13.151999999999997,AA-LCR v1.1,83.0,9.96,GDP.pdf,26.6,3.1920000000000006,49.479698,49.479698,8
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,35.3535,35.3535,17.67675,0.0,17.67675,10,1.7676749999999999,Terminal-Bench effective,35.3535,1.7676749999999999,LiveCodeBench,,0.0,40.8531,0.0,40.8531,10,4.08531,τ³-Banking,40.2062,2.01031,AA-Briefcase,41.5,2.075,15.0,0.0,15.0,16,2.4,CritPt,30.0,2.4,AIME 2025,,0.0,69.66265,0.0,69.66265,40,27.86506,AA-Omniscience Accuracy,46.8,9.36,GPQA Diamond,92.5253,18.50506,53.5,0.0,53.5,24,12.84,AA-LCR v1.1,83.0,9.96,GDP.pdf,24.0,2.88,48.958045,48.958045,9
kimi-k3,Kimi K3 (max),kimi k3,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,12.6263,12.6263,6.31315,0.0,6.31315,10,0.6313150000000001,Terminal-Bench effective,12.6263,0.6313150000000001,LiveCodeBench,,0.0,47.9037,0.0,47.9037,10,4.79037,τ³-Banking,45.9794,2.2989699999999997,AA-Briefcase,49.828,2.4914,11.7143,0.0,11.7143,16,1.874288,CritPt,23.4286,1.874288,AIME 2025,,0.0,70.55935,0.0,70.55935,40,28.22374,AA-Omniscience Accuracy,47.5833,9.51666,GPQA Diamond,93.5354,18.707079999999998,55.33335,0.0,55.33335,24,13.280004000000002,AA-LCR v1.1,88.6667,10.640004000000001,GDP.pdf,22.0,2.64,48.799717,48.799717,10
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,2,LiveCodeBench; AIME 2025,Terminal-Bench v4.0,19.697,19.697,9.8485,0.0,9.8485,10,0.98485,Terminal-Bench effective,19.697,0.98485,LiveCodeBench,,0.0,40.014,0.0,40.014,10,4.0014,τ³-Banking,44.9485,2.2474250000000002,AA-Briefcase,35.0795,1.753975,9.14285,0.0,9.14285,16,1.462856,CritPt,18.2857,1.462856,AIME 2025,,0.0,74.92625,0.0,74.92625,40,29.970499999999998,AA-Omniscience Accuracy,54.6,10.92,GPQA Diamond,95.2525,19.0505,51.16665,0.0,51.16665,24,12.279995999999999,AA-LCR v1.1,81.3333,9.759996,GDP.pdf,21.0,2.52,48.699602,48.699602,11
