rank,model,creator,slug,variant_group,evidence_tier,twopl_score,lcb_score_sensitivity,lcb_rank_sensitivity,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,mean_board_se,max_board_se,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score
1,GPT-5.6 Sol (max),OpenAI,gpt-5-6-sol,gpt 5 6 sol,Main,97.4221,96.1967,1,17,24,3,0,0.2633,0.3583,3,97.986,9,95.555,3,99.238,5,98.293,4,96.064
2,Claude Opus 5 (max),Anthropic,claude-opus-5,claude opus 5,Provisional,97.4128,96.1172,2,13,20,2,1,0.2694,0.3885,5,99.281,5,95.323,3,99.176,5,98.222,2,95.106
3,Claude Fable 5 (with fallback),Anthropic,claude-fable-5,claude fable 5 with fallback,Main,97.2795,95.9739,3,18,25,3,0,0.2638,0.3583,4,98.811,10,95.612,3,99.104,4,98.509,4,94.408
4,Kimi K3 (max),Kimi,kimi-k3,kimi k3,Provisional,96.9288,95.4387,4,15,21,2,1,0.2701,0.3815,2,97.608,8,95.579,3,98.681,5,97.34,3,95.455
5,GPT-5.6 Terra (max),OpenAI,gpt-5-6-terra,gpt 5 6 terra,Main,96.6036,95.0918,5,14,21,3,0,0.2658,0.3641,3,97.746,7,94.274,3,98.729,5,96.488,3,95.811
6,GPT-5.5 (xhigh),OpenAI,gpt-5-5,gpt 5 5,Main,96.3376,94.8058,6,18,25,3,0,0.2629,0.3583,3,96.88,10,92.304,3,98.867,5,97.723,4,95.977
7,Claude Opus 4.8 (max),Anthropic,claude-opus-4-8,claude opus 4 8,Main,95.4098,93.4453,7,16,23,3,0,0.2654,0.3583,3,97.097,9,93.148,3,98.28,4,96.603,4,91.997
8,GPT-5.4 (xhigh),OpenAI,gpt-5-4,gpt 5 4,Main,95.2686,93.3502,8,13,20,3,0,0.2663,0.3641,3,95.319,6,90.874,3,98.243,5,96.626,3,95.359
9,GPT-5.6 Luna (max),OpenAI,gpt-5-6-luna,gpt 5 6 luna,Provisional,94.9548,92.8512,9,13,20,2,1,0.2706,0.3885,3,95.647,7,92.046,3,97.484,5,94.789,2,94.847
10,Qwen3.8 Max,Alibaba,qwen3-8-max,qwen3 8 max,Main,94.9198,92.785,10,14,21,3,0,0.2694,0.3815,3,96.084,7,91.932,3,98.113,5,95.369,3,93.162
11,Grok 4.5 (high),SpaceXAI,grok-4-5,grok 4 5,Provisional,94.6701,92.382,12,9,16,2,1,0.2732,0.3885,3,96.196,3,90.749,3,97.667,5,96.964,2,91.877
12,Gemini 3.1 Pro Preview,Google,gemini-3-1-pro-preview,gemini 3 1 pro preview,Main,94.6389,92.6185,11,16,23,3,0,0.2636,0.3641,4,94.175,8,88.03,3,98.445,5,98.119,3,94.609
13,Claude Sonnet 5 (max),Anthropic,claude-sonnet-5,claude sonnet 5,Provisional,94.6077,92.3294,13,12,19,2,1,0.2713,0.3885,3,95.74,6,92.207,3,97.228,5,94.72,2,93.185
14,Gemini 3.5 Flash,Google,gemini-3-5-flash,gemini 3 5 flash,Provisional,94.3794,92.0533,14,9,15,2,2,0.2707,0.3641,2,95.102,2,90.104,3,97.102,5,96.988,3,92.694
15,Claude Opus 4.7 (max),Anthropic,claude-opus-4-7,claude opus 4 7,Main,94.1709,91.8129,15,16,23,3,0,0.2632,0.3583,4,96.964,7,91.585,3,96.484,5,95.787,4,90.135
16,Muse Spark 1.2 (xhigh),Meta,muse-spark-1-2,muse spark 1 2,Provisional,93.9775,91.4691,16,7,13,2,3,0.2777,0.3885,2,96.1,2,89.417,3,97.509,4,95.416,2,91.564
17,Gemini 3.6 Flash,Google,gemini-3-6-flash,gemini 3 6 flash,Main,93.6012,91.0124,18,12,19,3,0,0.2707,0.3815,3,94.419,5,89.349,3,96.533,5,96.725,3,91.092
18,GLM-5.2 (max),Z AI,glm-5-2,glm 5 2,Main,93.467,91.0338,17,14,21,3,0,0.2672,0.3641,3,94.323,8,89.732,3,97.369,4,91.639,3,94.36
19,Muse Spark 1.1 (xhigh),Meta,muse-spark-1-1,muse spark 1 1,Provisional,93.4386,90.7584,19,7,13,2,3,0.2777,0.3885,2,95.813,2,88.338,3,97.105,4,95.75,2,90.343
20,DeepSeek V4 Flash 0731 (max),DeepSeek,deepseek-v4-flash,deepseek v4 flash 0731,Provisional,93.3515,90.6456,20,9,15,2,2,0.2764,0.3885,2,94.453,4,90.277,3,96.854,4,93.676,2,91.565
21,Qwen3.7 Max,Alibaba,qwen3-7-max,qwen3 7 max,Main,93.0412,90.4198,21,11,18,3,0,0.2689,0.3641,3,92.723,5,88.781,3,96.926,4,93.52,3,93.344
22,DeepSeek V4 Pro (max),DeepSeek,deepseek-v4-pro,deepseek v4 pro,Main,91.5475,88.6108,22,18,25,3,0,0.263,0.3641,6,91.584,8,85.593,3,95.358,5,93.532,3,91.813
23,Kimi K2.6,Kimi,kimi-k2-6,kimi k2 6,Provisional,91.3471,88.1759,23,9,15,2,2,0.2707,0.3641,2,90.922,2,86.568,3,94.642,5,93.853,3,90.857
24,Muse Spark,Meta,muse-spark,muse spark,Provisional,91.254,88.1207,24,9,15,2,2,0.2707,0.3641,2,88.816,2,85.525,3,95.34,5,94.584,3,92.183
25,Kimi K2.7 Code,Kimi,kimi-k2-7-code,kimi k2 7 code,Provisional,90.0945,86.579,25,9,15,2,1,0.272,0.3641,2,89.563,3,86.001,3,94.298,4,92.178,3,88.542
26,MiniMax-M3,MiniMax,minimax-m3,minimax m3,Main,89.9707,86.5058,26,12,19,3,0,0.2667,0.3641,3,87.893,5,88.013,3,92.904,5,90.403,3,90.687
27,Nex-N2-Pro,Nex AGI,nex-n2-pro,nex n2 pro,Provisional,89.2747,85.5499,27,8,14,2,2,0.2729,0.3641,2,87.657,2,86.478,3,93.436,4,90.082,3,88.796
28,GPT-5.4 mini (xhigh),OpenAI,gpt-5-4-mini,gpt 5 4 mini,Provisional,88.8792,85.1624,28,9,15,2,2,0.2707,0.3641,2,86.928,2,84.569,3,92.14,5,89.681,3,91.182
29,Qwen3.7 Plus,Alibaba,qwen3-7-plus,qwen3 7 plus,Provisional,88.7967,85.0888,29,9,15,2,2,0.2707,0.3641,2,85.987,2,83.652,3,94.237,5,89.978,3,90.309
30,MiMo-V2.5-Pro,Xiaomi,mimo-v2-5-pro,mimo v2 5 pro,Provisional,88.725,84.8623,30,8,14,2,2,0.2729,0.3641,2,89.587,2,87.533,3,88.488,4,87.955,3,90.074
31,Claude Opus 4.6 (max),Anthropic,claude-opus-4-6-adaptive,claude opus 4 6,Main,88.6944,84.5975,32,15,21,3,0,0.2881,0.3583,3,81.229,6,83.89,3,95.671,5,94.23,4,88.871
32,DeepSeek V4 Flash (max),DeepSeek,deepseek-v4-flash-0420,deepseek v4 flash,Main,88.3738,84.7003,31,18,25,3,0,0.263,0.3641,6,88.162,8,81.099,3,92.676,5,91.312,3,88.835
33,Grok Build 0.1 0616,SpaceXAI,grok-build-0-1-06-16,grok build 0 1 0616,Provisional,88.2447,84.3343,33,8,14,2,3,0.2756,0.3885,2,83.736,2,80.78,3,94.429,5,94.543,2,88.145
34,Hy3,Tencent,hy3,hy3,Provisional,88.212,84.1986,34,14,21,2,1,0.2701,0.3885,5,88.058,7,86.085,3,90.875,4,90.782,2,85.33
35,Agnes 2.5 Pro Alpha,Sapiens AI,agnes-2-5-pro-alpha,agnes 2 5 pro alpha,Provisional,88.0441,84.065,35,8,14,2,2,0.277,0.3885,2,87.486,3,81.904,3,93.65,4,88.67,2,88.698
36,Claude Sonnet 4.6 (max),Anthropic,claude-sonnet-4-6-adaptive,claude sonnet 4 6,Provisional,87.7569,83.5898,36,9,15,2,2,0.2707,0.3641,2,90.872,2,88.322,3,86.357,5,90.306,3,83.036
37,Motif 3 (Beta),Motif Technologies,motif-0714,motif 3 beta,Provisional,87.7457,83.5388,38,7,13,2,3,0.2777,0.3885,2,89.934,2,85.489,3,91.895,4,87.405,2,84.114
38,GPT-5.1 (high),OpenAI,gpt-5-1,gpt 5 1,Provisional,87.428,83.5445,37,10,16,2,2,0.2604,0.3641,2,80.518,2,84.754,4,93.337,5,88.648,3,90.147
39,Inkling Small,Thinking Machines,inkling-small,inkling small,Main,87.0311,82.9802,39,15,22,3,0,0.2677,0.3815,4,84.643,7,80.384,3,93.285,5,90.494,3,86.62
40,GPT-5.4 nano (xhigh),OpenAI,gpt-5-4-nano,gpt 5 4 nano,Provisional,86.2225,82.0022,40,9,15,2,2,0.2707,0.3641,2,86.39,2,83.874,3,89.099,5,81.607,3,90.282
41,Grok 4.3 (high),SpaceXAI,grok-4-3,grok 4 3,Provisional,85.4732,81.2883,41,9,15,2,2,0.2707,0.3641,2,75.069,2,76.449,3,94.037,5,92.484,3,90.239
42,GLM-5.1,Z AI,glm-5-1,glm 5 1,Provisional,85.4515,80.8973,42,8,14,2,2,0.2729,0.3641,2,85.606,2,82.995,3,87.737,4,85.26,3,85.69
