slug,model,missing_core_count,missing_core_items,empty_boards,reason
claude-opus-4-6-adaptive,Claude Opus 4.6 (max),3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen-2-5-max,Qwen2.5 Max,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
qwen3-6-max,Qwen3.6 Max Preview,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
qwen3-max,Qwen3 Max,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-2,GPT-5.2 (xhigh),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-2-codex,GPT-5.2 Codex (xhigh),3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-3-codex,GPT-5.3 Codex (xhigh),3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-4-pro,GPT-5.4 Pro (xhigh),9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gpt-5-5-pro,GPT-5.5 Pro (xhigh),9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
gemini-3-pro,Gemini 3 Pro Preview (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-1-codex,GPT-5.1 Codex (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-1-codex-mini,GPT-5.1 Codex mini (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-codex,GPT-5 Codex (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
gpt-5-nano,GPT-5 nano (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
grok-3-mini-reasoning,Grok 3 mini Reasoning (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
k2-v2,K2-V2 (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
nova-2-0-lite-reasoning,Nova 2.0 Lite (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
o4-mini,o4-mini (high),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
sarvam-105b,Sarvam 105B (high),3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
sarvam-30b,Sarvam 30B (high),3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
QwQ-32B-Preview,QwQ 32B-Preview,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
apertus-70b-instruct,Apertus 70B Instruct,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
apertus-8b-instruct,Apertus 8B Instruct,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
apriel-v1-5-15b-thinker,Apriel-v1.5-15B-Thinker,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
apriel-v1-6-15b-thinker,Apriel-v1.6-15B-Thinker,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
arctic-instruct,Arctic,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
claude-2,Claude 2.0,8,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
claude-21,Claude 2.1,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-3-5-haiku,Claude 3.5 Haiku,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
claude-3-7-sonnet-thinking,Claude 3.7 Sonnet,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
claude-3-haiku,Claude 3 Haiku,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
claude-3-opus,Claude 3 Opus,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-3-sonnet,Claude 3 Sonnet,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-35-sonnet,Claude 3.5 Sonnet (Oct),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-35-sonnet-june-24,Claude 3.5 Sonnet (June),8,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-4-1-opus-thinking,Claude 4.1 Opus,3,AutomationBench-AA; τ³-Banking; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both
claude-4-opus-thinking,Claude 4 Opus,5,AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1,agentic-tool-work,board_missing_both; missing_at_least_four
claude-instant,Claude Instant,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
claude-opus-4-5-thinking,Claude Opus 4.5,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
cogito-v2-1-reasoning,Cogito v2.1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
command-a,Command A,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
command-r-03-2024,Command-R (Mar),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
command-r-plus-04-2024,Command-R+ (Apr),7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
dbrx,DBRX,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deephermes-3-llama-3-1-8b-preview,DeepHermes 3 - Llama-3.1 8B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deephermes-3-mistral-24b-preview,DeepHermes 3 - Mistral 24B,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deepseek-coder-v2,DeepSeek-Coder-V2,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-coder-v2-lite,DeepSeek Coder V2 Lite,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
deepseek-llm-67b-chat,DeepSeek LLM 67B (V1),10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-r1,DeepSeek R1 0528,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
deepseek-r1-distill-llama-8b,DeepSeek R1 Distill Llama 8B,6,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy,agentic-tool-work; hard-reasoning,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-1-5b,DeepSeek R1 Distill Qwen 1.5B,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-14b,DeepSeek R1 Distill Qwen 14B,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,5,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy,agentic-tool-work,board_missing_both; missing_at_least_four
deepseek-r1-qwen3-8b,DeepSeek R1 0528 Qwen3 8B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
deepseek-v2,DeepSeek-V2,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-v2-5,DeepSeek-V2.5 (Dec),9,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; instruction-context,board_missing_both; missing_at_least_four
deepseek-v2-5-sep-2024,DeepSeek-V2.5,10,Terminal-Bench effective; LiveCodeBench; AutomationBench-AA; τ³-Banking; CritPt; Humanity's Last Exam; AA-Omniscience Accuracy; GPQA Diamond; AA-LCR v1.1; IFBench,coding; agentic-tool-work; hard-reasoning; knowledge-science; instruction-context,board_missing_both; missing_at_least_four
deepseek-v3-1-reasoning,DeepSeek V3.1,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
deepseek-v3-2-reasoning,DeepSeek V3.2,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
deepseek-v3-2-reasoning-0925,DeepSeek V3.2 Exp,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
deepseek-v3-2-speciale,DeepSeek V3.2 Speciale,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
devstral-small,Devstral Small,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
devstral-small-2505,Devstral Small (May),2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
diffusiongemma-26b-a4b,DiffusionGemma 26B A4B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
doubao-seed-code,Doubao Seed Code,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
ernie-4-5-300b-a47b,ERNIE 4.5 300B A47B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
ernie-5-0-thinking-preview,ERNIE 5.0 Thinking Preview,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
exaone-4-0-1-2b-reasoning,Exaone 4.0 1.2B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
exaone-4-0-32b-reasoning,EXAONE 4.0 32B,3,AutomationBench-AA; τ³-Banking; AA-LCR v1.1,agentic-tool-work,board_missing_both
exaone-4-5-33b,EXAONE 4.5 33B,3,LiveCodeBench; AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
falcon-h1r-7b,Falcon-H1R-7B,2,AutomationBench-AA; τ³-Banking,agentic-tool-work,board_missing_both
g9v3-3b,G9v3-3B,4,LiveCodeBench; AutomationBench-AA; τ³-Banking; IFBench,agentic-tool-work,board_missing_both; missing_at_least_four
gemini-1-0-pro,Gemini 1.0 Pro,7,Terminal-Bench effective; AutomationBench-AA; τ³-Banking; CritPt; AA-Omniscience Accuracy; AA-LCR v1.1; IFBench,agentic-tool-work; instruction-context,board_missing_both; missing_at_least_four
