slug,missing_core
claude-opus-4-6-adaptive,AutomationBench-AA; GDP.pdf
claude-opus-4-7,AutomationBench-AA; GDP.pdf
qwen-2-5-max,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
qwen3-6-max,AutomationBench-AA; GDP.pdf
qwen3-max,AutomationBench-AA; GDP.pdf
gpt-5-2,AutomationBench-AA; GDP.pdf
gpt-5-2-codex,AutomationBench-AA; GDP.pdf
gpt-5-3-codex,AutomationBench-AA; GDP.pdf
gpt-5-4,AutomationBench-AA; GDP.pdf
gpt-5-4-pro,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
gpt-5-5-pro,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
gemini-3-pro,AutomationBench-AA; GDP.pdf
gpt-5,AutomationBench-AA; GDP.pdf
gpt-5-1,AutomationBench-AA; GDP.pdf
gpt-5-1-codex,AutomationBench-AA; GDP.pdf
gpt-5-1-codex-mini,AutomationBench-AA; GDP.pdf
gpt-5-codex,AutomationBench-AA; GDP.pdf
gpt-5-nano,AutomationBench-AA; GDP.pdf
grok-3-mini-reasoning,AutomationBench-AA; GDP.pdf
hypernova-60b,AutomationBench-AA; GDP.pdf
k2-v2,AutomationBench-AA; GDP.pdf
nova-2-0-lite-reasoning,AutomationBench-AA; GDP.pdf
o4-mini,AutomationBench-AA; GDP.pdf
sarvam-105b,AutomationBench-AA; GDP.pdf
sarvam-30b,AutomationBench-AA; GDP.pdf
QwQ-32B-Preview,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
a-x-k2,AutomationBench-AA; GDP.pdf
agnes-2-5-pro-alpha,GDP.pdf
agnes-2-5-pro-beta,AutomationBench-AA; GDP.pdf
apertus-70b-instruct,AutomationBench-AA; GDP.pdf
apertus-8b-instruct,AutomationBench-AA; GDP.pdf
apodex-1-1,AutomationBench-AA; GDP.pdf
apriel-v1-5-15b-thinker,AutomationBench-AA; GDP.pdf
apriel-v1-6-15b-thinker,AA-LCR v1.1; AutomationBench-AA; GDP.pdf
arctic-instruct,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
claude-2,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Humanity's Last Exam; Terminal-Bench effective
claude-21,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
claude-3-5-haiku,AutomationBench-AA; GDP.pdf
claude-3-7-sonnet-thinking,AA-LCR v1.1; AutomationBench-AA; GDP.pdf
claude-3-haiku,AutomationBench-AA; GDP.pdf
claude-3-opus,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
claude-3-sonnet,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
claude-35-sonnet,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
claude-35-sonnet-june-24,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
claude-4-1-opus-thinking,AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf
claude-4-opus-thinking,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf
claude-4-sonnet-thinking,AutomationBench-AA; GDP.pdf
claude-instant,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
claude-opus-4-5-thinking,AutomationBench-AA; GDP.pdf
cogito-v2-1-reasoning,AutomationBench-AA; GDP.pdf
command-a,AutomationBench-AA; GDP.pdf
command-r-03-2024,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
command-r-plus-04-2024,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
dbrx,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
deephermes-3-llama-3-1-8b-preview,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
deephermes-3-mistral-24b-preview,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
deepseek-coder-v2,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
deepseek-coder-v2-lite,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
deepseek-llm-67b-chat,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; GPQA Diamond; Humanity's Last Exam; Terminal-Bench effective
deepseek-r1,AutomationBench-AA; GDP.pdf
deepseek-r1-distill-llama-70b,AutomationBench-AA; GDP.pdf
deepseek-r1-distill-llama-8b,AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Humanity's Last Exam; Terminal-Bench effective
deepseek-r1-distill-qwen-1-5b,AA-Omniscience Accuracy; AutomationBench-AA; GDP.pdf; Terminal-Bench effective
