slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank,equal_board_score
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,57.28321385659153,4.098940557178693,61.38215441377022,59.3759,9.805400388944266,69.18130038894427,52.776332051592966,0.0,52.776332051592966,67.2333,0.0,67.2333,85.3333,0.0,85.3333,66.22329511519655,64.34259100113704,1,67.1812773708615
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,57.77146932829387,0.0,57.77146932829387,68.4917,0.0,68.4917,55.19506034583167,0.0,55.19506034583167,62.6,0.0,62.6,80.6667,0.0,80.6667,64.39276003657889,64.39276003657889,2,64.94498593482511
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,50.869254453746414,5.791704978964702,56.66095943271112,54.0713,10.315383036956547,64.38668303695655,51.443785512149084,0.0,51.443785512149084,65.35,0.0,65.35,82.3333,0.0,82.3333,63.56139405245932,61.43491609901936,3,64.03494559636334
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,52.5485490421001,4.234325124528368,56.78287416662847,56.5736,8.702171360395276,65.27577136039528,52.12542177930074,0.0,52.12542177930074,60.86670000000001,0.0,60.86670000000001,79.3333,0.0,79.3333,62.19061465451236,60.46185643800023,4,62.8768134612649
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,47.714200399880966,0.0,47.714200399880966,60.0811,0.9550266240513352,61.036126624051334,55.13094410564724,0.0,55.13094410564724,59.4,0.0,59.4,84.0,0.0,84.0,62.11612226528997,61.972868271682266,5,61.4562542259159
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,44.086572039000714,0.0,44.086572039000714,59.650000000000006,0.0,59.650000000000006,52.6854723809135,0.0,52.6854723809135,46.8,0.17718217985847673,46.977182179858474,83.0,0.0,83.0,57.506094463138744,57.461798918174125,6,57.279845319954546
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,Terminal-Bench v4.0,14.6465,14.6465,28.58468638099778,0.0,28.58468638099778,47.3006,3.2225269669650305,50.52312696696503,50.386724527994474,0.0,50.386724527994474,57.95,0.0,57.95,84.3333,0.0,84.3333,56.90711504154287,56.42373599649812,7,54.35556757519146
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,44.27047217717471,0.0,44.27047217717471,57.8534,8.426846700420626,66.28024670042063,48.21844866168964,0.0,48.21844866168964,43.5833,0.0,43.5833,83.0,0.0,83.0,56.33044382128746,55.06641681622437,8,57.070493507857
kimi-k3,Kimi K3 (max),kimi k3,Terminal-Bench v4.0,12.6263,12.6263,27.407068894903734,0.0,27.407068894903734,58.27300000000001,3.6484798134768823,61.92147981347689,46.81242861078669,0.0,46.81242861078669,47.5833,0.0,47.5833,88.6667,0.0,88.6667,55.70182244474792,55.154550472726385,9,54.47819546383347
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,33.388546664986784,0.0,33.388546664986784,59.93010000000001,1.660810370306102,61.59091037030611,41.73438197996946,0.0,41.73438197996946,54.6,0.10441860178303841,54.70441860178304,81.3333,0.0,81.3333,55.04057046648119,54.76534426048951,10,54.55031152340908
gemini-3-7-flash,Gemini 3.7 Flash (high),gemini 3 7 flash,Terminal-Bench v4.0,13.6364,13.6364,27.922633163081166,0.0,27.922633163081166,62.0275,0.0,62.0275,36.75117208130919,0.0,36.75117208130919,55.3167,0.0,55.3167,81.6667,0.0,81.6667,53.284254940700876,53.284254940700876,11,52.73694104887807
grok-4-6-xhigh,Grok 4.6 (xhigh),grok 4 6,Terminal-Bench v4.0,17.1717,17.1717,30.17051204089848,0.0,30.17051204089848,66.9974,0.0,66.9974,42.94164570926457,0.0,42.94164570926457,43.0,0.0,43.0,81.0,0.0,81.0,52.89915491686922,52.89915491686922,12,52.82191155003261
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,49.74332270526366,0.0,49.74332270526366,62.20289999999999,5.722831535517604,67.9257315355176,41.90146999664809,0.0,41.90146999664809,33.85,0.0,33.85,79.6667,0.0,79.6667,52.12947299984843,51.27104826952079,13,54.61744484748587
