benchmark,configurations,variant_groups,creators,at_least_100_configurations,at_least_100_groups,note
GPQA Diamond,612,445,58,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
Humanity's Last Exam,607,437,58,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
CritPt,520,357,55,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
AA-Omniscience Accuracy,519,354,55,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
AA-Omniscience Non-Hallucination Rate,519,354,55,True,True,同一 Omniscience 家族的另一指标
AA-LCR,516,357,54,True,True,当前 AA-LCR v1.1 的兼容别名，不重复计权
AA-LCR v1.1,516,357,54,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
IFBench,450,321,49,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
τ²-Bench Telecom,440,313,48,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
Terminal-Bench Hard,432,305,48,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
LiveCodeBench,343,269,40,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
AIME 2025,270,199,36,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
MMMU-Pro,258,152,28,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
GDPval-AA,239,174,40,True,True,历史留存列，不作为新 Core
GDPval-AA v2,239,174,40,True,True,Elo 换算分，非原生通过率
Terminal-Bench v2.1,236,176,40,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
τ³-Banking,204,149,36,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
SciCode,167,122,35,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
AA-Briefcase,159,113,28,True,True,Elo 换算分，非原生通过率
AutomationBench-AA,153,111,27,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
GDP.pdf,147,110,26,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
Terminal-Bench v4.0,142,103,26,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩
ITBench-AA,33,31,13,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
APEX-Agents-AA,30,30,13,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:gpqa-diamond,15,15,4,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:deepswe-v1-1,10,10,6,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:ifbench,10,10,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:terminal-bench-2-1,10,10,6,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:toolathlon,10,10,6,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:erqa,9,9,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:realworldqa,9,9,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:swe-bench-pro,9,9,3,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
benchmark:aa-lcr,8,8,2,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩
