slug,model,variant_group,terminal_source,terminal_raw,terminal_effective,coding_core,coding_bonus,coding_score,agentic-tool-work_core,agentic-tool-work_bonus,agentic-tool-work_score,hard-reasoning_core,hard-reasoning_bonus,hard-reasoning_score,knowledge-science_core,knowledge-science_bonus,knowledge-science_score,instruction-context_core,instruction-context_bonus,instruction-context_score,score,core_only_score,rank
claude-fable-5-1,Claude Fable 5.1 (max with fallback),claude fable 5 1 with fallback,Terminal-Bench v4.0,52.0202,52.0202,52.0202,10.387202700047993,62.407402700047996,47.2165,7.735504906572432,54.952004906572434,74.44850553986964,0.0,74.44850553986964,79.38686752492505,0.0,79.38686752492505,85.3333,0.0,85.3333,71.30561613428301,67.68107461295894,1
claude-opus-5,Claude Opus 5 (max),claude opus 5,Terminal-Bench v4.0,48.9899,48.9899,48.9899,8.837346424326327,57.827246424326326,42.0619,8.329482848596754,50.391382848596756,71.52094853174138,0.0,71.52094853174138,75.3308863243358,0.0,75.3308863243358,79.3333,0.0,79.3333,66.88075282580004,63.44738697121544,2
claude-fable-5,Claude Fable 5 (with fallback),claude fable 5 with fallback,Terminal-Bench v4.0,42.4242,42.4242,42.4242,10.61266525430824,53.03686525430824,38.1443,11.15327327646358,49.29757327646358,71.67841800988636,0.0,71.67841800988636,77.80185540846696,0.0,77.80185540846696,82.3333,0.0,82.3333,66.82960238982503,62.47641468367066,3
gpt-6-astra,GPT-6 Astra (max),gpt 6 astra,Terminal-Bench v4.0,59.0909,59.0909,59.090900000000005,0.0,59.090900000000005,41.4433,0.0,41.4433,72.47497793155925,0.0,72.47497793155925,77.54607378842593,0.0,77.54607378842593,80.6667,0.0,80.6667,66.24439034399704,66.24439034399704,4
qwen3-8-flash-next,Qwen3.8-Flash-Next,qwen3 8 flash next,Terminal-Bench v2.1,86.1423,81.835185,81.835185,0.0,81.835185,45.3608,0.0,45.3608,59.26541978590888,0.0,59.26541978590888,47.5596299396873,10.558635479453244,58.11826541914054,79.6667,0.0,79.6667,64.84927404100989,62.737546945119234,5
gpt-5-6-sol,GPT-5.6 Sol (max),gpt 5 6 sol,Terminal-Bench v4.0,39.899,39.899,39.899,0.0,39.899,44.3299,0.0,44.3299,68.25749869735925,0.0,68.25749869735925,74.77967076686016,0.0,74.77967076686016,84.0,0.0,84.0,62.25321389284389,62.25321389284389,6
kimi-k2-6,Kimi K2.6,kimi k2 6,Terminal-Bench v2.1,65.9176,62.62171999999999,62.62171999999999,0.0,62.62171999999999,23.299000000000003,15.967201448466264,39.26620144846627,58.44321484347006,0.0,58.44321484347006,54.499741834250926,5.263091671467592,59.76283350571852,81.0,0.0,81.0,60.21879395953097,55.9727353355442,7
muse-spark-1-3,Muse Spark 1.3 (max),muse spark 1 3,Terminal-Bench v4.0,33.3333,33.3333,33.3333,0.0,33.3333,50.5155,0.0,50.5155,67.49376133021481,0.0,67.49376133021481,63.848111944050466,0.0,63.848111944050466,83.0,0.0,83.0,59.638134654853054,59.638134654853054,8
glm-5-2,GLM-5.2 (max),glm 5 2,Terminal-Bench v2.1,77.9026,74.00747,74.00747,0.0,74.00747,34.63920000000001,0.0,34.63920000000001,60.6847883664432,0.0,60.6847883664432,46.66590029314767,0.0,46.66590029314767,78.3333,0.0,78.3333,58.86613173191818,58.86613173191818,9
glm-5-3,GLM-5.3 (max),glm 5 3,Terminal-Bench v4.0,41.9192,41.9192,41.9192,0.0,41.9192,50.3093,1.974007029252462,52.28330702925246,62.25831089967026,0.0,62.25831089967026,55.71918179585914,0.0,55.71918179585914,79.6667,0.0,79.6667,58.36933994495637,57.97453853910588,10
gpt-5-6-terra,GPT-5.6 Terra (max),gpt 5 6 terra,Terminal-Bench v4.0,35.3535,35.3535,35.3535,0.0,35.3535,40.2062,0.0,40.2062,63.010077571210786,0.0,63.010077571210786,65.80413391269579,0.0,65.80413391269579,83.0,0.0,83.0,57.47478229678132,57.47478229678132,11
nex-n2-pro,Nex-N2-Pro,nex n2 pro,Terminal-Bench v2.1,67.7903,64.400785,64.400785,0.0,64.400785,17.5258,11.927416585210821,29.45321658521082,54.85325721696024,0.0,54.85325721696024,55.72582547374242,0.0,55.72582547374242,81.6667,0.0,81.6667,57.219956855182694,54.83447353814053,12
gemini-3-8-flash,Gemini 3.8 Flash (high),gemini 3 8 flash,Terminal-Bench v4.0,19.697,19.697,19.697,0.0,19.697,44.9485,0.0,44.9485,67.49203345766077,0.0,67.49203345766077,72.11647869939297,0.0,72.11647869939297,81.3333,0.0,81.3333,57.11746243141074,57.11746243141074,13
kimi-k3,Kimi K3 (max),kimi k3,Terminal-Bench v4.0,12.6263,12.6263,12.626299999999999,0.0,12.626299999999999,45.9794,0.0,45.9794,66.22968098685061,0.0,66.22968098685061,66.71373920580378,0.0,66.71373920580378,88.6667,0.0,88.6667,56.043164038530875,56.043164038530875,14
gpt-5-5,GPT-5.5 (xhigh),gpt 5 5,Terminal-Bench v4.0,14.6465,14.6465,14.646499999999998,0.0,14.646499999999998,38.9691,0.0,38.9691,65.43959483172247,0.0,65.43959483172247,73.6232057845894,0.0,73.6232057845894,84.3333,0.0,84.3333,55.40234012326236,55.40234012326236,15
qwen3-8-max,Qwen3.8 Max,qwen3 8 max,Terminal-Bench v4.0,18.6869,18.6869,18.6869,0.0,18.6869,51.3402,0.0,51.3402,63.1809054258484,0.0,63.1809054258484,54.34486640888907,8.320137894783684,62.66500430367275,78.3333,0.0,78.3333,54.84126194590423,53.177234366947495,16
glm-5-1,GLM-5.1,glm 5 1,Terminal-Bench v2.1,61.7978,58.70791,58.70791,0.0,58.70791,13.6082,29.290305875145087,42.89850587514509,51.082878604969004,0.0,51.082878604969004,45.34748603836821,0.0,45.34748603836821,73.6667,0.0,73.6667,54.34069610369646,48.48263492866744,17
