benchmark,configurations,variant_groups,creators,at_least_100_configurations,at_least_100_groups,representatives_population,representatives_observed,representatives_coverage_percent,representatives_median,representatives_p90,representatives_at_least_90,recent_population,recent_observed,recent_coverage_percent,recent_median,recent_p90,recent_at_least_90,targets_population,targets_observed,targets_coverage_percent,targets_median,targets_p90,targets_at_least_90,target_missing_slugs,quality_note,core_prohibition
GPQA Diamond,612,445,58,True,True,471,445,94.47983014861995,68.7879,89.65660000000001,41,124,123,99.19354838709677,85.6566,92.9091,36,14,14,100.0,93.5354,94.91917,14,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,本轮保守选择不进入 Core：关注配置分数集中于高分区，分数分布保留作审计；不能据此认定刷分或污染。
Humanity's Last Exam,607,437,58,True,True,471,437,92.78131634819533,7.507,37.07138000000001,0,124,123,99.19354838709677,28.4059,45.18075999999999,0,14,14,100.0,46.3392,54.81001,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
CritPt,520,357,55,True,True,471,357,75.79617834394904,0.2776,12.22856000000002,0,124,124,100.0,3.7143,20.399980000000003,0,14,14,100.0,24.14285,31.200010000000002,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
AA-Omniscience Accuracy,519,354,55,True,True,471,354,75.1592356687898,19.441650000000003,41.006699999999995,0,124,123,99.19354838709677,24.6167,49.89336,0,14,14,100.0,49.566649999999996,62.08001,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
AA-Omniscience Non-Hallucination Rate,519,354,55,True,True,471,354,75.1592356687898,18.6791,67.91253999999999,0,124,123,99.19354838709677,44.8238,74.58023999999999,0,14,14,100.0,46.32965,65.18968,0,,与 Omniscience Accuracy 属于同一测试家族，不重复占 Core 槽位。,
AA-LCR,516,357,54,True,True,471,354,75.1592356687898,52.333349999999996,79.6667,0,124,123,99.19354838709677,73.6667,81.93334,0,14,14,100.0,81.16665,85.0333,0,,LCR 兼容别名，不与 v1.1 重复计权。,
AA-LCR v1.1,516,357,54,True,True,471,354,75.1592356687898,52.333349999999996,79.6667,0,124,123,99.19354838709677,73.6667,81.93334,0,14,14,100.0,81.16665,85.0333,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
IFBench,450,321,49,True,True,471,321,68.15286624203821,44.2177,74.1497,0,124,69,55.645161290322584,67.1429,79.31974000000001,0,14,3,21.428571428571427,72.6531,75.21086,0,claude-fable-5-1; gpt-6-astra; kimi-k3; gemini-3-8-flash; muse-spark-1-3; qwen3-8-max; qwen3-8-2-4t-a95b; qwen3-8-flash-next; claude-opus-5; grok-4-6-xhigh; grok-4-5,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
τ²-Bench Telecom,440,313,48,True,True,471,313,66.4543524416136,37.4269,93.8596,54,124,68,54.83870967741935,89.1813,97.6608,32,14,3,21.428571428571427,86.2573,92.33914,1,claude-fable-5-1; gpt-6-astra; kimi-k3; gemini-3-8-flash; muse-spark-1-3; qwen3-8-max; qwen3-8-2-4t-a95b; qwen3-8-flash-next; claude-opus-5; grok-4-6-xhigh; grok-4-5,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
Terminal-Bench Hard,432,305,48,True,True,471,305,64.75583864118896,10.6061,42.121200000000016,0,124,67,54.03225806451613,34.8485,51.06064,0,14,3,21.428571428571427,60.6061,64.8485,0,claude-fable-5-1; gpt-6-astra; kimi-k3; gemini-3-8-flash; muse-spark-1-3; qwen3-8-max; qwen3-8-2-4t-a95b; qwen3-8-flash-next; claude-opus-5; grok-4-6-xhigh; grok-4-5,旧 Terminal 版本：本轮禁止作 Core、回退或扩展。,
LiveCodeBench,343,269,40,True,True,471,269,57.11252653927813,38.0952,79.11112000000001,2,124,0,0.0,,,0,14,0,0.0,,,0,claude-fable-5-1; gpt-6-astra; kimi-k3; gemini-3-8-flash; gpt-5-5; muse-spark-1-3; qwen3-8-max; qwen3-8-2-4t-a95b; qwen3-8-flash-next; gpt-5-6-sol; claude-opus-5; gpt-5-6-terra; grok-4-6-xhigh; grok-4-5,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,本轮不进入 Core：冻结数据的匿名近期群体没有直接观测，历史总覆盖不能替代近期覆盖。
AIME 2025,270,199,36,True,True,471,199,42.25053078556263,57.3333,90.73336,23,124,0,0.0,,,0,14,0,0.0,,,0,claude-fable-5-1; gpt-6-astra; kimi-k3; gemini-3-8-flash; gpt-5-5; muse-spark-1-3; qwen3-8-max; qwen3-8-2-4t-a95b; qwen3-8-flash-next; gpt-5-6-sol; claude-opus-5; gpt-5-6-terra; grok-4-6-xhigh; grok-4-5,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,AIME 竞赛题家族全部年度及别名禁止进入 Core；不以换年度恢复准入。
MMMU-Pro,258,152,28,True,True,471,147,31.21019108280255,68.7283,80.03468,0,124,55,44.354838709677416,75.4335,83.34103999999999,0,14,10,71.42857142857143,81.50285,85.73407,0,claude-fable-5-1; muse-spark-1-3; qwen3-8-2-4t-a95b; grok-4-6-xhigh,多模态测试；需区分能力适用性与缺测，缺测不能证明低能力。,
GDPval-AA,239,174,40,True,True,471,170,36.09341825902335,18.7235,49.4864,0,124,105,84.6774193548387,30.7245,55.393900000000016,0,14,14,100.0,56.298249999999996,61.27825,0,,GDPval 历史留存列，不作为新 Core。,
GDPval-AA v2,239,174,40,True,True,471,170,36.09341825902335,18.7235,49.4864,0,124,105,84.6774193548387,30.7245,55.393900000000016,0,14,14,100.0,56.298249999999996,61.27825,0,,Elo 换算分，非原生通过率；数值分布不能解释为答题正确率。,
Terminal-Bench v2.1,236,176,40,True,True,471,172,36.518046709129514,40.0749,81.98504,1,124,106,85.48387096774194,60.86145,84.6442,1,14,14,100.0,86.89135,88.91387,1,,旧 Terminal 版本：本轮禁止作 Core、回退或扩展。,
τ³-Banking,204,149,36,True,True,471,145,30.78556263269639,14.8454,41.27834,0,124,90,72.58064516129032,23.0928,44.98973000000001,0,14,14,100.0,44.6392,50.082510000000006,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
SciCode,167,122,35,True,True,471,121,25.690021231422506,43.8657,56.3657,0,124,83,66.93548387096774,48.0324,56.9676,0,14,14,100.0,56.07635,59.282379999999996,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
AA-Briefcase,159,113,28,True,True,471,112,23.779193205944797,10.680250000000001,46.44530000000001,0,124,73,58.87096774193548,20.897,49.6124,0,14,13,92.85714285714286,48.75,56.6878,0,qwen3-8-flash-next,Elo 换算分，非原生通过率；数值分布不能解释为答题正确率。,
AutomationBench-AA,153,111,27,True,True,471,110,23.35456475583864,6.64185,57.86155,0,124,71,57.25806451612903,25.0113,59.65,0,14,14,100.0,58.10395,64.92251,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
GDP.pdf,147,110,26,True,True,471,109,23.142250530785564,7.4,21.28,0,124,71,57.25806451612903,11.2,23.6,0,14,14,100.0,21.4,27.02,0,,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
Terminal-Bench v4.0,142,103,26,True,True,471,102,21.656050955414013,0.5051,19.595990000000004,0,124,64,51.61290322580645,2.2727500000000003,34.747440000000005,0,14,13,92.85714285714286,19.697,51.41414,0,qwen3-8-flash-next,直接观测；覆盖和高分集中仅供质量审计，不自动产生额外准入门槛。,
