variant,population,condition,higher,lower,margin,passed
fc01,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.4357340673634766,True
fc01,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.533887940301156,True
fc01,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.18098000000000525,True
fc01,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.05512077513974134,True
fc01,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,5.119097458311003,True
fc01,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,1.99088217538187,True
fc01,common,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.4357340673634766,True
fc01,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.533887940301156,True
fc01,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.18098000000000525,True
fc01,common,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.05512077513974134,True
fc01,common,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,5.119959834840671,True
fc01,common,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,1.8567202611436855,True
fc02,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.2777525673634713,True
fc02,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.4612419403011643,True
fc02,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.22960550000000524,True
fc02,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.19153227513974258,True
fc02,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,5.444493115429054,True
fc02,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,2.6370073537196106,True
