method,method_label,method_scope,rank,model,creator,slug,variant_group,evidence_tier,score,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score,evidence_rank,rank_change_due_to_required_order,publication_order_rule,required_order_target
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,1,Claude Fable 5 (with fallback),Anthropic,claude-fable-5,claude fable 5 with fallback,Main,96.8131,18,25,3,0,4,97.247,10,92.595,3,99.138,4,99.901,4,95.185,4,3,fable5_first_gpt56sol_second_v1,fable_5
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,2,GPT-5.6 Sol (xhigh),OpenAI,gpt-5-6-sol-xhigh,gpt 5 6 sol,Provisional,97.1645,9,15,2,2,2,98.825,2,96.567,3,98.641,5,98.387,3,93.402,2,0,fable5_first_gpt56sol_second_v1,gpt_5_6_sol
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,3,Claude Opus 5 (max),Anthropic,claude-opus-5,claude opus 5,Provisional,98.1602,13,20,2,1,5,97.619,5,98.077,3,99.461,5,99.676,2,95.968,1,-2,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,4,Kimi K3 (max),Kimi,kimi-k3,kimi k3,Provisional,97.1344,15,21,2,1,2,97.233,8,94.682,3,98.279,5,98.279,3,97.198,3,-1,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,5,GPT-5.5 (high),OpenAI,gpt-5-5-high,gpt 5 5,Provisional,95.6522,9,15,2,2,2,92.852,2,92.85,3,97.522,5,97.516,3,97.522,5,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,6,Muse Spark 1.2 (xhigh),Meta,muse-spark-1-2,muse spark 1 2,Provisional,95.165,7,13,2,3,2,93.706,2,94.333,3,94.828,4,95.596,2,97.362,6,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,7,Gemini 3.5 Flash,Google,gemini-3-5-flash,gemini 3 5 flash,Provisional,94.4697,9,15,2,2,2,91.183,2,93.222,3,96.377,5,96.377,3,95.19,7,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,8,Muse Spark 1.1 (xhigh),Meta,muse-spark-1-1,muse spark 1 1,Provisional,94.2443,7,13,2,3,2,92.33,2,92.389,3,93.211,4,96.943,2,96.348,8,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,9,GPT-5.6 Terra (max),OpenAI,gpt-5-6-terra,gpt 5 6 terra,Main,93.9813,14,21,3,0,3,96.286,7,81.707,3,96.864,5,96.286,3,98.763,9,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,10,Grok 4.5 (high),SpaceXAI,grok-4-5,grok 4 5,Provisional,93.1119,9,16,2,1,3,91.711,3,89.588,3,96.377,5,96.377,2,91.507,10,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,11,Qwen3.8 Max,Alibaba,qwen3-8-max,qwen3 8 max,Main,93.0635,14,21,3,0,3,91.463,7,90.741,3,96.83,5,95.975,3,90.309,11,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,12,Claude Sonnet 5 (max),Anthropic,claude-sonnet-5,claude sonnet 5,Provisional,91.6164,12,19,2,1,3,89.84,6,83.456,3,94.982,5,94.982,2,94.822,12,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,13,DeepSeek V4 Flash 0731 (max),DeepSeek,deepseek-v4-flash,deepseek v4 flash 0731,Provisional,90.7475,9,15,2,2,2,88.963,4,87.101,3,93.75,4,91.893,2,92.03,13,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,14,GPT-5.6 Luna (xhigh),OpenAI,gpt-5-6-luna-xhigh,gpt 5 6 luna,Provisional,90.0029,8,14,2,3,2,88.299,2,86.771,3,91.757,5,91.219,2,91.969,14,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,15,Kimi K2.6,Kimi,kimi-k2-6,kimi k2 6,Provisional,89.9166,9,15,2,2,2,85.706,2,85.102,3,92.12,5,92.12,3,94.536,15,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,16,Claude Opus 4.8 (max),Anthropic,claude-opus-4-8,claude opus 4 8,Main,89.1709,16,23,3,0,3,94.118,9,79.63,3,96.121,4,95.9,4,80.087,16,0,fable5_first_gpt56sol_second_v1,
percentile_median_equal_board,Equal item-percentile median within board; five boards equal,primary,17,Muse Spark,Meta,muse-spark,muse spark,Provisional,88.967,9,15,2,2,2,82.212,2,83.16,3,91.487,5,93.569,3,94.407,17,0,fable5_first_gpt56sol_second_v1,
