benchmark,configurations,variant_groups,creators,at_least_100_configurations,at_least_100_groups,note,fixed_representatives
GPQA Diamond,612,445,58,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,445
Humanity's Last Exam,607,437,58,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,437
Terminal-Bench effective,528,362,55,True,True,合成版本槽位：优先 v4；同配置旧版先尺度换算再折扣，不是独立的直接观测测试,362
CritPt,520,357,55,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,357
AA-Omniscience Accuracy,519,354,55,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,354
AA-Omniscience Non-Hallucination Rate,519,354,55,True,True,同一 Omniscience 家族的另一指标,354
AA-LCR,516,357,54,True,True,当前 AA-LCR v1.1 的兼容别名，不重复计权,354
AA-LCR v1.1,516,357,54,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,354
IFBench,450,321,49,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,321
τ²-Bench Telecom,440,313,48,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,313
Terminal-Bench Hard,432,305,48,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,305
LiveCodeBench,343,269,40,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,269
AIME 2025,270,199,36,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,199
MMMU-Pro,258,152,28,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,147
GDPval-AA,239,174,40,True,True,历史留存列，不作为新 Core,170
GDPval-AA v2,239,174,40,True,True,Elo 换算分，非原生通过率,170
Terminal-Bench v2.1,236,176,40,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,172
τ³-Banking,204,149,36,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,145
SciCode,167,122,35,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,121
AA-Briefcase,159,113,28,True,True,Elo 换算分，非原生通过率,112
AutomationBench-AA,153,111,27,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,110
GDP.pdf,147,110,26,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,109
Terminal-Bench v4.0,142,103,26,True,True,直接观测；外部项目仅计确切配置、非复制、非推算成绩,102
ITBench-AA,33,31,13,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,30
APEX-Agents-AA,30,30,13,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,30
benchmark:gpqa-diamond,15,15,4,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,14
benchmark:deepswe-v1-1,10,10,6,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,9
benchmark:ifbench,10,10,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,9
benchmark:terminal-bench-2-1,10,10,6,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,9
benchmark:toolathlon,10,10,6,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,10
benchmark:erqa,9,9,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
benchmark:realworldqa,9,9,1,False,False,直接观测；外部项目仅计确切配置、非复制、非推算成绩,8
