slug,missing_core
claude-opus-4-6-adaptive,AutomationBench-AA; SciCode
claude-opus-4-7,AutomationBench-AA; SciCode
qwen-2-5-max,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; CritPt; SciCode; Terminal-Bench effective
qwen3-6-max,AutomationBench-AA; SciCode
qwen3-max,AutomationBench-AA; SciCode
gpt-5-2,AutomationBench-AA; SciCode
gpt-5-2-codex,AutomationBench-AA; SciCode
gpt-5-3-codex,AutomationBench-AA; SciCode
gpt-5-4,AutomationBench-AA; SciCode
gpt-5-4-pro,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GPQA Diamond; SciCode; Terminal-Bench effective
gpt-5-5-pro,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; GPQA Diamond; SciCode; Terminal-Bench effective
gemini-3-pro,AutomationBench-AA; SciCode
gpt-5,AutomationBench-AA; SciCode
gpt-5-1,AutomationBench-AA; SciCode
gpt-5-1-codex,AutomationBench-AA; SciCode
gpt-5-1-codex-mini,AutomationBench-AA; SciCode
gpt-5-codex,AutomationBench-AA; SciCode
gpt-5-nano,AutomationBench-AA; SciCode
grok-3-mini-reasoning,AutomationBench-AA; SciCode
hypernova-60b,AutomationBench-AA; SciCode
k2-v2,AutomationBench-AA; SciCode
nova-2-0-lite-reasoning,AutomationBench-AA; SciCode
o4-mini,AutomationBench-AA; SciCode
sarvam-105b,AutomationBench-AA; SciCode
sarvam-30b,AutomationBench-AA; SciCode
QwQ-32B-Preview,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; CritPt; SciCode; Terminal-Bench effective
a-x-k2,AutomationBench-AA
agnes-2-5-pro-beta,AutomationBench-AA
apertus-70b-instruct,AutomationBench-AA; SciCode
apertus-8b-instruct,AutomationBench-AA; SciCode
apodex-1-1,AutomationBench-AA
apriel-v1-5-15b-thinker,AutomationBench-AA; SciCode
apriel-v1-6-15b-thinker,AA-LCR v1.1; AutomationBench-AA; SciCode
arctic-instruct,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; CritPt; GPQA Diamond; SciCode; Terminal-Bench effective
claude-2,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; CritPt; SciCode; Terminal-Bench effective
claude-21,AA-LCR v1.1; AA-Omniscience Accuracy; AutomationBench-AA; CritPt; SciCode; Terminal-Bench effective
claude-3-5-haiku,AutomationBench-AA; SciCode
claude-3-7-sonnet-thinking,AA-LCR v1.1; AutomationBench-AA; SciCode
claude-3-haiku,AutomationBench-AA; SciCode
