method,method_label,method_scope,rank,model,creator,slug,variant_group,evidence_tier,score,unique_benchmark_families,board_test_slots_total,min_board_tests,boards_below_main_target,coding_tests,coding_score,agentic-tool-work_tests,agentic-tool-work_score,hard-reasoning_tests,hard-reasoning_score,knowledge-science_tests,knowledge-science_score,instruction-context_tests,instruction-context_score,evidence_rank,rank_change_due_to_required_order,publication_order_rule,required_order_target
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,1,Claude Fable 5 (with fallback),Anthropic,claude-fable-5,claude fable 5 with fallback,Main,97.1811,18,25,3,0,4,98.123,10,93.433,3,99.163,4,98.853,4,96.333,2,1,fable5_first_gpt56sol_second_v1,fable_5
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,2,GPT-5.6 Sol (xhigh),OpenAI,gpt-5-6-sol-xhigh,gpt 5 6 sol,Provisional,96.7224,9,15,2,2,2,97.936,2,92.905,3,98.965,5,97.505,3,96.301,4,2,fable5_first_gpt56sol_second_v1,gpt_5_6_sol
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,3,Claude Opus 5 (max),Anthropic,claude-opus-5,claude opus 5,Provisional,97.6441,13,20,2,1,5,98.306,5,93.597,3,99.23,5,98.161,2,98.926,1,-2,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,4,Kimi K3 (max),Kimi,kimi-k3,kimi k3,Provisional,96.9692,15,21,2,1,2,97.137,8,93.64,3,98.759,5,96.839,3,98.471,3,-1,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,5,Muse Spark 1.2 (xhigh),Meta,muse-spark-1-2,muse spark 1 2,Provisional,95.9728,7,13,2,3,2,95.53,2,91.743,3,97.616,4,96.287,2,98.688,5,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,6,Muse Spark 1.1 (xhigh),Meta,muse-spark-1-1,muse spark 1 1,Provisional,95.6246,7,13,2,3,2,95.26,2,90.606,3,97.188,4,96.957,2,98.112,6,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,7,GPT-5.6 Terra (max),OpenAI,gpt-5-6-terra,gpt 5 6 terra,Main,95.5891,14,21,3,0,3,95.814,7,90.595,3,98.779,5,95.845,3,96.912,7,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,8,GPT-5.5 (high),OpenAI,gpt-5-5-high,gpt 5 5,Provisional,95.5636,9,15,2,2,2,95.236,2,90.352,3,98.744,5,97.128,3,96.359,8,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,9,Qwen3.8 Max,Alibaba,qwen3-8-max,qwen3 8 max,Main,95.2594,14,21,3,0,3,94.655,7,90.89,3,98.177,5,94.608,3,97.966,9,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,10,Claude Opus 4.8 (max),Anthropic,claude-opus-4-8,claude opus 4 8,Main,94.9981,16,23,3,0,3,95.686,9,90.588,3,98.414,4,97.052,4,93.25,10,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,11,Grok 4.5 (high),SpaceXAI,grok-4-5,grok 4 5,Provisional,94.9442,9,16,2,1,3,94.44,3,89.05,3,97.764,5,96.356,2,97.111,11,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,12,Gemini 3.5 Flash,Google,gemini-3-5-flash,gemini 3 5 flash,Provisional,94.8063,9,15,2,2,2,94.463,2,90.702,3,97.168,5,96.522,3,95.176,12,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,13,Claude Sonnet 5 (max),Anthropic,claude-sonnet-5,claude sonnet 5,Provisional,94.7319,12,19,2,1,3,93.871,6,90.604,3,97.347,5,94.022,2,97.815,13,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,14,DeepSeek V4 Flash 0731 (max),DeepSeek,deepseek-v4-flash,deepseek v4 flash 0731,Provisional,94.6983,9,15,2,2,2,93.754,4,91.058,3,96.998,4,94.282,2,97.4,14,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,15,GPT-5.6 Luna (max),OpenAI,gpt-5-6-luna,gpt 5 6 luna,Provisional,94.5928,13,20,2,1,3,93.722,7,88.912,3,97.659,5,94.209,2,98.463,15,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,16,GPT-5.4 (xhigh),OpenAI,gpt-5-4,gpt 5 4,Main,94.1702,13,20,3,0,3,92.889,6,87.382,3,98.353,5,96.038,3,96.189,16,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,17,Gemini 3.6 Flash,Google,gemini-3-6-flash,gemini 3 6 flash,Main,93.8043,12,19,3,0,3,92.183,5,87.377,3,96.652,5,96.259,3,96.55,17,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,18,Gemini 3.1 Pro Preview,Google,gemini-3-1-pro-preview,gemini 3 1 pro preview,Main,93.335,16,23,3,0,4,89.849,8,84.757,3,98.493,5,97.638,3,95.937,18,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,19,Claude Opus 4.7 (max),Anthropic,claude-opus-4-7,claude opus 4 7,Main,93.1423,16,23,3,0,4,94.335,7,87.874,3,96.672,5,95.448,4,91.383,19,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,20,GLM-5.2 (max),Z AI,glm-5-2,glm 5 2,Main,92.7175,14,21,3,0,3,92.521,8,86.787,3,97.482,4,91.231,3,95.566,20,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,21,Qwen3.7 Max,Alibaba,qwen3-7-max,qwen3 7 max,Main,92.6774,11,18,3,0,3,91.043,5,86.699,3,97.063,4,93.694,3,94.888,21,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,22,Muse Spark,Meta,muse-spark,muse spark,Provisional,91.4468,9,15,2,2,2,88.269,2,85.304,3,95.423,5,94.497,3,93.74,22,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,23,Kimi K2.6,Kimi,kimi-k2-6,kimi k2 6,Provisional,91.2552,9,15,2,2,2,90.34,2,86.15,3,94.713,5,92.936,3,92.138,23,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,24,DeepSeek V4 Pro (max),DeepSeek,deepseek-v4-pro,deepseek v4 pro,Main,90.8101,18,25,3,0,6,88.203,8,85.402,3,95.576,5,91.843,3,93.025,24,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,25,Kimi K2.7 Code,Kimi,kimi-k2-7-code,kimi k2 7 code,Provisional,90.4239,9,15,2,1,2,88.882,3,85.993,3,94.592,4,92.723,3,89.93,25,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,26,MiniMax-M3,MiniMax,minimax-m3,minimax m3,Main,89.5063,12,19,3,0,3,87.296,5,86.667,3,92.782,5,89.425,3,91.362,26,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,27,Nex-N2-Pro,Nex AGI,nex-n2-pro,nex n2 pro,Provisional,89.4854,8,14,2,2,2,86.889,2,86.526,3,93.593,4,90.298,3,90.121,27,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,28,Grok Build 0.1 0616,SpaceXAI,grok-build-0-1-06-16,grok build 0 1 0616,Provisional,89.2249,8,14,2,3,2,83.441,2,80.169,3,94.695,5,93.956,2,93.863,28,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,29,Motif 3 (Beta),Motif Technologies,motif-0714,motif 3 beta,Provisional,89.1238,7,13,2,3,2,89.162,2,85.655,3,92.226,4,87.353,2,91.223,29,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,30,Claude Opus 4.6 (max),Anthropic,claude-opus-4-6-adaptive,claude opus 4 6,Main,89.0533,15,21,3,0,3,82.985,6,84.987,3,96.027,5,93.681,4,87.587,30,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,31,Hy3,Tencent,hy3,hy3,Provisional,88.877,14,21,2,1,5,85.233,7,86.028,3,91.036,4,91.02,2,91.067,31,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,32,Qwen3.7 Plus,Alibaba,qwen3-7-plus,qwen3 7 plus,Provisional,88.6304,9,15,2,2,2,85.406,2,82.406,3,94.492,5,89.302,3,91.545,32,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,33,GPT-5.4 mini (xhigh),OpenAI,gpt-5-4-mini,gpt 5 4 mini,Provisional,88.5329,9,15,2,2,2,86.43,2,83.178,3,92.501,5,88.835,3,91.721,33,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,34,MiMo-V2.5-Pro,Xiaomi,mimo-v2-5-pro,mimo v2 5 pro,Provisional,88.3863,8,14,2,2,2,88.975,2,86.285,3,88.786,4,87.919,3,89.967,34,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,35,Inkling Small,Thinking Machines,inkling-small,inkling small,Main,88.3349,15,22,3,0,4,83.978,7,81.899,3,93.498,5,89.899,3,92.401,35,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,36,Agnes 2.5 Pro Alpha,Sapiens AI,agnes-2-5-pro-alpha,agnes 2 5 pro alpha,Provisional,88.0506,8,14,2,2,2,86.739,3,74.826,3,93.97,4,89.228,2,95.489,36,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,37,DeepSeek V4 Flash (max),DeepSeek,deepseek-v4-flash-0420,deepseek v4 flash,Main,87.9949,18,25,3,0,6,85.052,8,81.631,3,93.075,5,89.378,3,90.839,37,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,38,Inkling,Thinking Machines,inkling,inkling,Main,86.6872,15,22,3,0,4,82.047,7,80.383,3,89.961,5,89.611,3,91.434,38,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,39,Claude Sonnet 4.6 (max),Anthropic,claude-sonnet-4-6-adaptive,claude sonnet 4 6,Provisional,86.649,9,15,2,2,2,90.136,2,86.717,3,87.136,5,90.012,3,79.244,39,0,fable5_first_gpt56sol_second_v1,
rasch_equal_board,Unweighted continuous 1PL/Rasch point estimate; five boards equal,primary,40,GPT-5.1 (high),OpenAI,gpt-5-1,gpt 5 1,Provisional,86.5837,10,16,2,2,2,80.194,2,82.657,4,93.239,5,88.199,3,88.63,40,0,fable5_first_gpt56sol_second_v1,
