variant,population,condition,higher,lower,margin,passed,label
mc01,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.9231819205191485,True,Fable 5.1 第一
mc01,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.693716061483066,True,GPT-6 Astra 第二
mc01,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.6994447805332911,True,Kimi K3 高于 Gemini 3.8 Flash
mc01,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.11739150000000365,True,GPT-5.5 高于 Muse Spark 1.3
mc01,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,4.735524805815274,True,Qwen3.8 Max 高于 Qwen3.8 Flash-Next
mc01,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,2.1781948662529587,True,Qwen3.8 2.4T A95B 高于 Qwen3.8 Flash-Next
mc01,full,gpt-5-6-sol > claude-opus-5,gpt-5-6-sol,claude-opus-5,0.12015977867097405,True,GPT-5.6 Sol 高于 Claude Opus 5
mc01,full,gpt-5-6-terra > muse-spark-1-3,gpt-5-6-terra,muse-spark-1-3,0.8275539999999992,True,GPT-5.6 Terra 高于 Muse Spark 1.3
mc01,full,grok-4-6-xhigh > grok-4-5,grok-4-6-xhigh,grok-4-5,0.46132700000000426,True,Grok 4.6 高于 Grok 4.5
mc01,common,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.9231819205191485,True,Fable 5.1 第一
mc01,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.693716061483066,True,GPT-6 Astra 第二
mc01,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,0.6807290936255725,True,Kimi K3 高于 Gemini 3.8 Flash
mc01,common,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.11739150000000365,True,GPT-5.5 高于 Muse Spark 1.3
mc01,common,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,4.716420226569305,True,Qwen3.8 Max 高于 Qwen3.8 Flash-Next
mc01,common,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,2.081241378623673,True,Qwen3.8 2.4T A95B 高于 Qwen3.8 Flash-Next
mc01,common,gpt-5-6-sol > claude-opus-5,gpt-5-6-sol,claude-opus-5,0.12015977867097405,True,GPT-5.6 Sol 高于 Claude Opus 5
mc01,common,gpt-5-6-terra > muse-spark-1-3,gpt-5-6-terra,muse-spark-1-3,0.8647622577702805,True,GPT-5.6 Terra 高于 Muse Spark 1.3
mc01,common,grok-4-6-xhigh > grok-4-5,grok-4-6-xhigh,grok-4-5,0.46132700000000426,True,Grok 4.6 高于 Grok 4.5
mc02,full,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.6758350516053753,True,Fable 5.1 第一
mc02,full,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.6036331597977664,True,GPT-6 Astra 第二
mc02,full,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,1.3535738177015304,True,Kimi K3 高于 Gemini 3.8 Flash
mc02,full,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.1586446976257605,True,GPT-5.5 高于 Muse Spark 1.3
mc02,full,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,7.791053987044563,True,Qwen3.8 Max 高于 Qwen3.8 Flash-Next
mc02,full,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,4.383495597979284,True,Qwen3.8 2.4T A95B 高于 Qwen3.8 Flash-Next
mc02,full,gpt-5-6-sol > claude-opus-5,gpt-5-6-sol,claude-opus-5,0.12907587430751732,True,GPT-5.6 Sol 高于 Claude Opus 5
mc02,full,gpt-5-6-terra > muse-spark-1-3,gpt-5-6-terra,muse-spark-1-3,0.4988144999999946,True,GPT-5.6 Terra 高于 Muse Spark 1.3
mc02,full,grok-4-6-xhigh > grok-4-5,grok-4-6-xhigh,grok-4-5,0.2320320000000038,True,Grok 4.6 高于 Grok 4.5
mc02,common,claude-fable-5-1 rank=1,claude-fable-5-1,gpt-6-astra,1.6758350516053753,True,Fable 5.1 第一
mc02,common,gpt-6-astra rank=2,gpt-6-astra,claude-fable-5,0.6036331597977664,True,GPT-6 Astra 第二
mc02,common,kimi-k3 > gemini-3-8-flash,kimi-k3,gemini-3-8-flash,1.3339669076077314,True,Kimi K3 高于 Gemini 3.8 Flash
mc02,common,gpt-5-5 > muse-spark-1-3,gpt-5-5,muse-spark-1-3,0.1586446976257605,True,GPT-5.5 高于 Muse Spark 1.3
mc02,common,qwen3-8-max > qwen3-8-flash-next,qwen3-8-max,qwen3-8-flash-next,7.771039665929749,True,Qwen3.8 Max 高于 Qwen3.8 Flash-Next
mc02,common,qwen3-8-2-4t-a95b > qwen3-8-flash-next,qwen3-8-2-4t-a95b,qwen3-8-flash-next,4.281925277605744,True,Qwen3.8 2.4T A95B 高于 Qwen3.8 Flash-Next
mc02,common,gpt-5-6-sol > claude-opus-5,gpt-5-6-sol,claude-opus-5,0.12907587430751732,True,GPT-5.6 Sol 高于 Claude Opus 5
mc02,common,gpt-5-6-terra > muse-spark-1-3,gpt-5-6-terra,muse-spark-1-3,0.5377945795688603,True,GPT-5.6 Terra 高于 Muse Spark 1.3
